"Player","Team","Pos","Opp","Tipoff","Salary","Projection","SE","FantasyPros","numberFire","RotoGrinders","SportingCharts","SportsLine","SwishAnalytics","Label","Deviation","Floor","Ceil","OU","Line","Spread","Situation","PTS","Three","Two","FT","TRB","AST","BLK","STL","TOV","Actual","Value","actValue"
"Kent Bazemore",NA,"SF",NA,NA,NA,21.99,1.32,NA,22.2,23.15,23.05,19.9,21.63,"K. Bazemore",8.57,14.58,31.72,209.5,-150,-3,NA,2,0,1,0,3,1,0,1,2,7.1,NA,NA
"Thaddeus Young",NA,"PF",NA,NA,NA,21.04,3.35,NA,23.7,22.1,15.59,23.57,20.26,"T. Young",11.27,10.83,33.37,209.5,130,3,NA,4,0,2,0,5,2,0,0,0,13,NA,NA
"Courtney Lee",NA,"SG",NA,NA,NA,20.91,1.55,NA,19.7,19.84,23.23,19.98,21.79,"C. Lee",9.13,10.71,28.97,219,535,10.5,NA,5,1,1,0,0,1,0,3,1,11.5,NA,NA
"Tim Hardaway Jr.",NA,"SG",NA,NA,NA,20.51,0.93,NA,20.3,20.53,22.03,19.53,20.18,"T. Hardaway",9.44,11.09,29.97,209.5,-150,-3,NA,24,4,5,2,4,2,0,1,1,32.8,NA,NA
"Kelly Olynyk",NA,"C",NA,NA,NA,20.44,4.37,NA,21.8,23.76,12.79,22.4,21.43,"K. Olynyk",12.59,11.17,36.35,228,-210,-5,NA,0,0,0,0,4,1,2,0,3,7.3,NA,NA
"Yogi Ferrell","DAL","PG","OKC","Sun 8:30PM",5300,20.24,5.06,11.2,22.9,22.62,NA,22,22.46,"Y. Ferrell",11.76,10.86,34.38,207,-115,-1,"",7,1,2,0,2,3,0,0,0,13.9,3.8188679245283,2.62264150943396
"Brandon Ingram","LAL","SF","NOR","Sun 9:30PM",3600,20.02,1.96,18,20.1,22.62,NA,18.24,21.16,"B. Ingram",7.46,15.16,30.08,217.5,205,6,"",16,2,5,0,6,2,1,0,4,24.2,5.56111111111111,6.72222222222222
"Jaylen Brown",NA,"SF",NA,NA,NA,19.78,3.58,NA,22.9,20.74,NA,14.62,20.87,"J. Brown",11.2,9.54,31.94,228,-210,-5,NA,14,1,3,5,6,3,0,1,1,26.7,NA,NA
"Marquese Chriss",NA,"PF",NA,NA,NA,19.61,1.09,NA,19.8,20.51,NA,18.04,20.08,"M. Chriss",8.2,12.31,28.71,228,180,5,NA,10,0,5,0,6,0,5,1,1,28.2,NA,NA
"Rodney Hood",NA,"SG",NA,NA,NA,19.53,1.07,NA,21.3,18.65,19.31,19.62,18.75,"R. Hood",8.39,10.26,27.04,192.5,-500,-9.5,NA,28,4,6,4,4,0,0,2,1,35.8,NA,NA
"Ersan Ilyasova",NA,"PF",NA,NA,NA,19.41,3.99,NA,25.2,19.88,14.09,18.21,19.68,"E. Ilyasova",9.74,10.14,29.62,209.5,-150,-3,NA,5,1,1,0,4,1,0,0,0,11.3,NA,NA
"Andre Iguodala",NA,"SF",NA,NA,NA,19.36,0.92,NA,17.8,19.52,20.23,19.79,19.44,"A. Iguodala",7.03,12.49,26.55,219,-700,-10.5,NA,6,2,0,0,3,4,0,2,1,18.6,NA,NA
"Thabo Sefolosha",NA,"SF",NA,NA,NA,19.24,2.23,NA,17.7,22.81,20.01,17.49,18.17,"T. Sefolosha",10.04,12.77,32.85,209.5,-150,-3,NA,12,2,2,2,6,4,0,2,0,29.2,NA,NA
"Amir Johnson",NA,"PF",NA,NA,NA,19.19,3.03,NA,22.5,18.79,14.43,20.92,19.29,"A. Johnson",9.39,9.39,28.18,228,-210,-5,NA,13,1,4,2,8,3,3,1,0,35.1,NA,NA
"Taj Gibson","OKC","PF","@DAL","Sun 8:30PM",4400,18.54,3.09,21.7,16.4,15.15,20.48,21.72,15.77,"T. Gibson",8.48,6.67,23.63,207,-105,1,"3in4",6,0,2,2,2,1,0,0,1,8.9,4.21363636363636,2.02272727272727
"Monta Ellis",NA,"SG",NA,NA,NA,18.54,1.22,NA,18.5,19.37,17.96,20,16.87,"M. Ellis",8.52,10.85,27.89,209.5,130,3,NA,3,1,0,0,3,3,0,1,3,10.1,NA,NA
"Kyle O'Quinn",NA,"C",NA,NA,NA,18.53,1.82,NA,15.8,18.66,19.53,17.99,20.66,"K. O'Quinn",11.38,7.28,30.04,219,535,10.5,NA,2,0,1,0,4,5,0,0,2,12.3,NA,NA
"Zaza Pachulia",NA,"C",NA,NA,NA,18.43,2.15,NA,19,18.58,15.26,21.25,18.08,"Z. Pachulia",9.85,8.73,28.43,219,-700,-10.5,NA,10,0,5,0,1,2,1,1,2,16.2,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bojan Bogdanovic",NA,"SF",NA,NA,NA,17.85,1.99,NA,19.8,15.18,17.31,19.86,17.09,"B. Bogdanovic",8.2,6.98,23.38,217,0,-11,NA,27,8,1,1,2,1,0,0,1,29.9,NA,NA
"Nick Young","LAL","SG","NOR","Sun 9:30PM",4100,17.82,1.21,19.4,18.9,16.4,16.56,17.7,17.96,"N. Young",9.84,6.56,26.24,217.5,205,6,"",19,4,3,1,4,0,0,1,2,23.8,4.34634146341463,5.80487804878049
"Kosta Koufos",NA,"C",NA,NA,NA,17.62,1.69,NA,20.5,16.95,17.67,16.59,16.37,"K. Koufos",7.12,9.83,24.07,192.5,405,9.5,NA,12,0,5,2,10,1,1,0,1,26.5,NA,NA
"Larry Nance","LAL","PF","NOR","Sun 9:30PM",4100,17.49,1.36,17.6,17.9,17.59,14.97,19.12,17.74,"L. Nance",5.63,11.96,23.22,217.5,205,6,"",4,0,2,0,5,0,0,1,1,11,4.26585365853659,2.68292682926829
"E'Twaun Moore","NOR","SG","@LAL","Sun 9:30PM",3900,17.37,2.35,17.3,16.4,19.63,20.59,14.31,15.99,"E. Moore",7.85,11.78,27.48,217.5,-245,-6,"",13,2,3,1,1,2,1,1,0,21.2,4.45384615384615,5.43589743589744
"Matt Barnes",NA,"SF",NA,NA,NA,17.25,5.26,NA,14.1,10.9,17.54,18.85,24.84,"M. Barnes",5.45,5.45,16.35,219,-700,-10.5,NA,3,1,0,0,3,2,1,2,1,14.6,NA,NA
"Alex Len",NA,"C",NA,NA,NA,17.21,3.26,NA,16.9,18.24,16.25,21.82,12.82,"A. Len",7.11,11.13,25.35,228,180,5,NA,8,0,3,2,2,1,0,0,0,11.9,NA,NA
"C.J. Miles",NA,"SF",NA,NA,NA,17.14,0.66,NA,17.7,17.67,17.47,16.5,16.34,"C. Miles",7.07,10.6,24.74,209.5,130,3,NA,13,3,2,0,5,2,0,0,1,21,NA,NA
"Buddy Hield",NA,"SG",NA,NA,NA,16.88,2.22,NA,18.4,17.23,NA,18.25,13.65,"B. Hield",9.13,8.1,26.36,192.5,405,9.5,NA,10,2,2,0,2,1,0,1,5,10.9,NA,NA
"Solomon Hill","NOR","SF","@LAL","Sun 9:30PM",3600,16.86,1.61,17.3,16.4,19.11,17.09,14.14,17.1,"S. Hill",5.73,13.38,24.84,217.5,-245,-6,"",5,1,1,0,6,3,0,0,1,15.7,4.68333333333333,4.36111111111111
"Andre Roberson","OKC","SF","@DAL","Sun 8:30PM",4200,16.8,1.74,18.2,17.5,17.6,17.94,13.64,15.95,"A. Roberson",7.92,9.68,25.52,207,-105,1,"3in4",2,0,1,0,8,2,0,0,2,12.6,4,3
"Jeff Green",NA,"SF",NA,NA,NA,16.66,3.28,NA,19.1,13.04,13.69,20.56,16.89,"J. Green",7.43,5.61,20.47,217,0,11,NA,12,1,4,1,2,0,0,0,0,14.4,NA,NA
"Doug McDermott","OKC","SF","@DAL","Sun 8:30PM",3600,16.06,2.93,14,19.2,16.03,20.05,13.46,13.61,"D. McDermott",9.3,6.73,25.33,207,-105,1,"3in4",6,0,3,0,4,2,0,0,0,13.8,4.46111111111111,3.83333333333333
"Joe Ingles",NA,"SF",NA,NA,NA,15.61,2.85,NA,13.4,19.17,18.21,13.15,14.13,"J. Ingles",8.82,10.35,27.99,192.5,-500,-9.5,NA,6,2,0,0,1,1,0,2,2,10.7,NA,NA
"Alec Burks",NA,"SG",NA,NA,NA,15.55,2.69,NA,19.7,16.16,15.57,13,13.34,"A. Burks",5.82,10.34,21.98,192.5,-500,-9.5,NA,7,0,3,1,3,1,0,2,3,13.1,NA,NA
"D.J. Augustin",NA,"PG",NA,NA,NA,15.37,1.37,NA,14.6,13.37,15.86,16.3,16.73,"D. Augustin",5.35,8.02,18.72,217,0,11,NA,8,2,1,0,1,4,0,0,0,15.2,NA,NA
