"Player","Team","Pos","Pos2","Opp","Tipoff","Salary","Projection","SE","DvP","DvP2","FantasyPros","FantasyFuel","numberFire","RotoGrinders","Rotowire","SportsLine","SwishAnalytics","Label","Deviation","Floor","Ceil","OU","Line","Spread","Situation"
"Jusuf Nurkic","POR","C","","MIL","Tue 10:00PM",6900,33.04,4.43,52.2,NA,29.8,33.5,26.7,40.82,35.1,31.775,33.56,"J. Nurkic",14.29,26.53,55.11,212,-195,-5,"3in4"
"Ricky Rubio","MIN","PG","","SAS","Tue 9:30PM",7300,32.79,2.42,47.4,NA,30.6,NA,31.2,33.29,31.5,32.9,37.26,"R. Rubio",14.31,18.98,47.6,205.5,180,5,""
"Klay Thompson","GSW","SG","","@DAL","Tue 8:30PM",7000,32.76,2.08,43.3,NA,34.6,NA,32.9,34.36,29.1,33.875,31.72,"K. Thompson",12.37,21.99,46.73,207,-205,-5,"3in4-B2B"
"LaMarcus Aldridge","SAS","PF","","@MIN","Tue 9:30PM",6700,32.76,1.81,46.5,NA,35.7,NA,33.2,31.1,32,33.65,30.92,"L. Aldridge",9.33,21.77,40.43,205.5,-210,-5,"3in4"
"D'Angelo Russell","LAL","PG","","LAC","Tue 10:30PM",6100,32.69,3.05,49.2,NA,33.2,27.5,30.7,35.55,33.9,31.575,36.39,"D. Russell",14.22,21.33,49.77,219.5,365,9,""
"Harrison Barnes","DAL","SF","PF","GSW","Tue 8:30PM",6300,30.53,1.54,42.7,48.2,32.8,NA,29.8,31.97,30.4,29.275,28.94,"H. Barnes",11.19,20.78,43.16,207,175,5,""
"Tobias Harris","DET","SF","PF","@BKN","Tue 7:30PM",6000,29.88,2.13,50.1,51.4,30.6,27.5,27.1,30.28,33.5,30.075,30.07,"T. Harris",8.18,22.1,38.46,214,-225,-5.5,""
"Khris Middleton","MIL","SF","","@POR","Tue 10:00PM",6300,29.76,2.25,43.6,NA,27.7,29.8,27,32.44,30.4,32.7,28.29,"K. Middleton",10.06,22.38,42.5,212,170,5,""
"James Johnson","MIA","PF","C","PHO","Tue 7:30PM",6300,29.63,2.89,49.4,52.4,27.3,NA,28.7,34.43,29.4,26.575,31.4,"J. Johnson",13.43,21,47.86,214,-1000,-12.5,""
"Serge Ibaka","TOR","PF","C","CHI","Tue 7:00PM",5700,28.9,2.06,45.9,48.5,32,26.3,29.3,29.52,28.4,30.35,26.41,"S. Ibaka",8.56,20.96,38.08,200,-275,-6.5,""
"Tyler Johnson","MIA","PG","","PHO","Tue 7:30PM",5600,28.8,1.79,55.3,NA,30.4,NA,30.3,28.06,25.6,29.175,29.28,"T. Johnson",9.54,18.52,37.6,214,-1000,-12.5,""
"Reggie Jackson","DET","PG","","@BKN","Tue 7:30PM",5700,28.72,2.23,56.2,NA,31.5,26,28.1,28.23,30.7,30.475,26.04,"R. Jackson",8.75,19.48,36.98,214,-225,-5.5,""
"Dirk Nowitzki","DAL","PF","C","GSW","Tue 8:30PM",6200,28.24,0.76,48.2,50.6,28,NA,28.8,27.43,28.5,27.425,29.3,"D. Nowitzki",9.6,17.83,37.03,207,175,5,""
"Alan Williams","PHO","C","","@MIA","Tue 7:30PM",5900,28.06,5.38,50.8,NA,27.3,NA,17.7,30.04,32.1,31.9,29.32,"A. Williams",9.01,21.03,39.05,214,725,12.5,""
"Jordan Clarkson","LAL","PG","SG","LAC","Tue 10:30PM",6400,27.85,3.43,49.2,41.9,22,30.8,24.6,30.46,30.9,27.375,28.83,"J. Clarkson",10.36,20.1,40.82,219.5,365,9,""
