"Player","Team","Pos","Pos2","Opp","Tipoff","Salary","Projection","SE","FantasyPros","numberFire","RotoGrinders","SportsLine","SwishAnalytics","Label","Deviation","Floor","Ceil","OU","Line","Spread","Situation","PTS","Three","Two","FT","TRB","AST","BLK","STL","TOV","Actual","Value","actValue"
"T.J. Warren",NA,"SF","PF",NA,NA,NA,24.39,0.65,NA,23.9,25.3,24.4,23.96,"T. Warren",14.17,11.13,39.47,228,180,5,NA,14,0,6,2,7,1,2,1,0,30.25,NA,NA
"Kelly Olynyk",NA,"PF","C",NA,NA,NA,23.98,1.09,NA,23.3,25.49,24.025,23.09,"K. Olynyk",13.51,11.98,39,228,-210,-5,NA,0,0,0,0,4,1,2,0,3,9,NA,NA
"Thaddeus Young",NA,"PF","",NA,NA,NA,23.78,1.74,NA,25.3,23.17,25.05,21.6,"T. Young",11.82,11.35,34.99,209.5,130,3,NA,4,0,2,0,5,2,0,0,0,13.25,NA,NA
"Kent Bazemore",NA,"SG","SF",NA,NA,NA,23.44,1.47,NA,23.9,24.98,21.475,23.39,"K. Bazemore",9.24,15.74,34.22,209.5,-150,-3,NA,2,0,1,0,3,1,0,1,2,8.25,NA,NA
"Ersan Ilyasova",NA,"PF","",NA,NA,NA,22.31,3.23,NA,27,21.26,19.625,21.36,"E. Ilyasova",10.42,10.84,31.68,209.5,-150,-3,NA,5,1,1,0,4,1,0,0,0,12,NA,NA
"Yogi Ferrell","DAL","PG","","OKC","Sun 8:30PM",4900,21.81,5.44,12.1,24.4,24.52,23.675,24.36,"Y. Ferrell",12.75,11.77,37.27,207,-115,-1,"",7,1,2,0,2,3,0,0,0,14.5,4.45102040816326,2.95918367346939
"Tim Hardaway Jr.",NA,"PG","SG",NA,NA,NA,21.77,0.42,NA,21.9,22.05,21.15,21.99,"T. Hardaway",10.14,11.91,32.19,209.5,-150,-3,NA,24,4,5,2,4,2,0,1,1,35.5,NA,NA
"Courtney Lee",NA,"SG","",NA,NA,NA,21.77,1.08,NA,21.2,21.11,21.4,23.38,"C. Lee",9.71,11.4,30.82,219,535,10.5,NA,5,1,1,0,0,1,0,3,1,12.5,NA,NA
"Brandon Ingram","LAL","SG","SF","NOR","Sun 9:30PM",4600,21.5,2.15,19.3,21.7,24.3,19.45,22.74,"B. Ingram",8.02,16.28,32.32,217.5,205,6,"",16,2,5,0,6,2,1,0,4,27.5,4.67391304347826,5.97826086956522
"Amir Johnson",NA,"PF","C",NA,NA,NA,21.43,1.64,NA,23.4,19.68,22.075,20.56,"A. Johnson",9.84,9.84,29.52,228,-210,-5,NA,13,1,4,2,8,3,3,1,0,36,NA,NA
