"Player","Pos","Team","Opp","Hand","Order","Salary","Projection","SE","DvP","DFC","FanGraphs","FantasyPros","numberFire","RotoGrinders","Rotowire","DvPRank","Line","Spread","OU","ParkFactor","Label","Actual","Value","actValue"
"Yulieski Gurriel","3B","HOU","SEA","R",7,2600,7.99,0.95,0,8.27,9.37,7.8,7.7,6.48,8.32,0,-144,-0.76,8.5,1,"Y. Gurriel",0,3.07307692307692,0
"Avisail Garcia","OF","CHW","DET","R",7,2700,7.98,1.38,0,10.07,7.78,7.6,8.8,5.93,7.71,0,114,0.32,7,0.98,"A. Garcia",NA,2.95555555555556,NA
"Kevin Pillar","OF","TOR","@BAL","R",8,2200,7.96,0.73,0,8.98,8.15,8.1,8,6.7,7.84,0,123,0.559999999999999,8.5,0.97,"K. Pillar",9.2,3.61818181818182,4.18181818181818
"Leonys Martin","OF","SEA","@HOU","L",7,2900,7.95,1.05,0,9.24,7.65,7.8,8.7,6.18,8.15,0,134,0.76,8.5,1,"L. Martin",0,2.74137931034483,0
"Derek Dietrich","2B","MIA","@WAS","L",7,2400,7.95,1.26,0,8.46,7.8,NA,9.4,5.97,8.12,0,183,1.46,8,1,"D. Dietrich",0,3.3125,0
"Tony Wolters","C","COL","@MIL","L",8,2600,7.87,1.11,0,9.28,7.83,NA,8.3,6.22,7.73,0,-125,-0.380000000000001,8,0.96,"T. Wolters",12.4,3.02692307692308,4.76923076923077
"Brandon Phillips","2B","ATL","@NYM","R",6,2600,7.86,1.84,0,10.6,7.48,NA,8.3,5.51,7.41,0,166,1.06,7,1.06,"B. Phillips",3,3.02307692307692,1.15384615384615
"Eddie Rosario","OF","MIN","KCR","L",9,2600,7.82,1.86,0,10.77,7.1,NA,7.5,5.72,8.02,0,-105,-0.0999999999999996,8,0.99,"E. Rosario",3,3.00769230769231,1.15384615384615
"Alcides Escobar","SS","KCR","@MIN","R",8,2300,7.8,0.85,0,9.45,7.61,7.8,7.6,7.09,7.27,0,-105,0.0999999999999996,8,0.99,"A. Escobar",0,3.39130434782609,0
"Adonis Garcia","3B","ATL","@NYM","R",7,2500,7.76,2.15,0,10.64,6.97,NA,9.1,5.06,7.04,0,166,1.06,7,1.06,"A. Garcia",0,3.104,0
"Yonder Alonso","1B","OAK","LAA","L",8,2400,7.75,1.04,0,9.63,7.55,6.6,7.5,7.17,8.05,0,101,0.120000000000001,8,1.03,"Y. Alonso",9.5,3.22916666666667,3.95833333333333
"Dansby Swanson","SS","ATL","@NYM","R",2,2600,7.72,0.98,0,8.7,7.62,NA,7.3,6.34,8.62,0,166,1.06,7,1.06,"D. Swanson",3,2.96923076923077,1.15384615384615
"Ryan Schimpf","2B","SDP","@LAD","L",5,2500,7.71,2.7,0,11.32,5.59,9.6,9.1,4.34,6.32,0,304,2.34,6.5,1.04,"R. Schimpf",21.7,3.084,8.68
"Andrelton Simmons","SS","LAA","@OAK","R",8,2600,7.69,1.38,0,9.5,8.27,7,8.2,5.43,7.74,0,-111,-0.119999999999999,8,1.03,"A. Simmons",6,2.95769230769231,2.30769230769231
"James McCann","C","DET","@CHW","R",7,2200,7.67,1.01,0,8.94,7.4,7.1,7.1,6.56,8.92,0,-124,-0.32,7,0.98,"J. McCann",NA,3.48636363636364,NA
"Orlando Arcia","SS","MIL","COL","R",8,2100,7.66,1.33,0,9.08,7.13,NA,7.8,5.7,8.61,0,115,0.379999999999999,8,0.96,"O. Arcia",9.2,3.64761904761905,4.38095238095238
"Yangervis Solarte","3B","SDP","@LAD","S",3,2300,7.66,1.96,0,9.91,6.3,9.2,9.1,5.24,6.23,0,304,2.34,6.5,1.04,"Y. Solarte",6.5,3.3304347826087,2.82608695652174
"Tucker Barnhart","C","CIN","PHI","S",8,2100,7.62,1.19,0,9.81,7.34,7.2,7.6,6.18,7.6,0,-115,-0.199999999999999,8.5,0.98,"T. Barnhart",6,3.62857142857143,2.85714285714286
"Mikie Mahtook","OF","DET","@CHW","R",6,2500,7.53,1.65,0,7.69,8.22,9.4,6.5,4.78,8.56,0,-124,-0.32,7,0.98,"M. Mahtook",NA,3.012,NA
"Jordy Mercer","SS","PIT","@BOS","R",9,2100,7.45,1.17,0,8.51,8.03,NA,8.2,5.71,6.78,0,141,0.879999999999999,8.5,0.95,"J. Mercer",6.5,3.54761904761905,3.09523809523809
"Cody Asche","OF","CHW","DET","L",6,2100,7.4,1.15,0,NA,7.9,6.8,9.1,6.12,7.06,0,114,0.32,7,NA,"C. Asche",NA,3.52380952380952,NA
"Yan Gomes","C","CLE","@TEX","R",6,2400,7.38,1.32,0,8.51,7.82,7.7,6.5,5.16,8.56,0,-115,-0.18,7.5,0.94,"Y. Gomes",0,3.075,0
"Ezequiel Carrera","OF","TOR","@BAL","L",9,2700,7.37,1.16,0,8.05,7.82,6.2,8.6,5.65,7.87,0,123,0.559999999999999,8.5,0.97,"E. Carrera",12.5,2.72962962962963,4.62962962962963
"Jett Bandy","C","MIL","COL","R",7,2400,7.29,1.22,0,8.63,7.26,NA,6.3,5.87,8.37,0,115,0.379999999999999,8,0.96,"J. Bandy",6.2,3.0375,2.58333333333333
"Hunter Renfroe","OF","SDP","@LAD","R",4,2000,7.29,1.52,0,9.22,6.97,7.9,8.3,4.91,6.45,0,304,2.34,6.5,1.04,"H. Renfroe",0,3.645,0
"Jed Lowrie","2B","OAK","LAA","S",9,2200,7.28,0.62,0,8.27,6.99,6.7,7.8,6.89,7.01,0,101,0.120000000000001,8,1.03,"J. Lowrie",9.2,3.30909090909091,4.18181818181818
"Francisco Cervelli","C","PIT","@BOS","R",6,2200,7.27,1.2,0,5.78,8.7,NA,7.8,6.27,7.78,0,141,0.879999999999999,8.5,0.95,"F. Cervelli",12.2,3.30454545454545,5.54545454545454
"Raul Mondesi","2B","KCR","@MIN","S",9,2500,7.2,0.77,0,7.58,8.09,NA,6.2,6.63,7.52,0,-105,0.0999999999999996,8,0.99,"R. Mondesi",0,2.88,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Manuel Margot","OF","SDP","@LAD","R",1,2400,7.15,0.92,0,6.39,7.13,7.9,8.3,5.83,7.36,0,304,2.34,6.5,1.04,"M. Margot",9.5,2.97916666666667,3.95833333333333
"JaCoby Jones","3B","DET","@CHW","R",8,2000,7.03,1.17,0,4.81,7.7,7.9,6.7,7.68,7.38,0,-124,-0.32,7,0.98,"J. Jones",NA,3.515,NA
"Tyler Flowers","C","ATL","@NYM","R",8,2400,7.02,1.93,0,9.8,6.17,NA,7.9,4.69,6.54,0,166,1.06,7,1.06,"T. Flowers",3,2.925,1.25
"Jose Iglesias","SS","DET","@CHW","R",9,2100,6.99,0.99,0,7.8,7.45,5.5,7.9,6.05,7.22,0,-124,-0.32,7,0.98,"J. Iglesias",NA,3.32857142857143,NA
"Martin Maldonado","C","LAA","@OAK","R",9,2300,6.98,1.33,0,9.11,7.52,6.7,6.6,5.04,6.91,0,-111,-0.119999999999999,8,1.03,"M. Maldonado",0,3.03478260869565,0
"Jason Castro","C","MIN","KCR","L",6,2300,6.97,1.24,0,8.17,7.15,7.2,8,4.77,6.51,0,-105,-0.0999999999999996,8,0.99,"J. Castro",16,3.0304347826087,6.95652173913044
"J.J. Hardy","SS","BAL","TOR","R",9,2500,6.81,1.48,0,9.09,7.23,4.5,7,6.48,6.56,0,-133,-0.56,8.5,0.97,"J. Hardy",0,2.724,0
"Delino DeShields","OF","TEX","CLE","R",1,2000,6.62,3.65,0,5.45,9.55,0,9.2,6.44,9.07,0,105,0.18,7.5,0.94,"D. DeShields",NA,3.31,NA
"Jacob May","OF","CHW","DET","S",9,NA,6.39,0.9,0,NA,6.82,NA,7,5.36,NA,0,114,0.32,7,NA,"J. May",NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Joey Gallo","OF","TEX","CLE","L",9,2000,6.08,3.72,0,5.06,7.81,0,5.8,6.41,11.38,0,105,0.18,7.5,0.94,"J. Gallo",9,3.04,4.5
"Omar Narvaez","C","CHW","DET","L",8,2000,6.08,0.72,0,6.12,6.51,5.4,7.3,5.53,5.65,0,114,0.32,7,0.98,"O. Narvaez",NA,3.04,NA
"Rene Rivera","C","NYM","ATL","R",8,2200,6.01,0.93,0,7.32,6.65,NA,5.2,5.26,5.64,0,-176,-1.06,7,1.06,"R. Rivera",3,2.73181818181818,1.36363636363636
"Jurickson Profar","OF","TEX","CLE","S",NA,2400,5.89,2.76,0,5.84,NA,9.5,NA,5.43,2.78,0,105,0.18,7.5,0.94,NA,0,2.45416666666667,0
"Adeiny Hechavarria","SS","MIA","@WAS","R",8,2100,5.88,0.74,0,6.34,6.76,NA,5.5,4.84,5.97,0,183,1.46,8,1,"A. Hechavarria",0,2.8,0
"Travis Jankowski","OF","SDP","@LAD","L",9,2100,5.86,1.47,0,8.72,5.24,4.9,6.1,5.14,5.04,0,304,2.34,6.5,1.04,"T. Jankowski",6.2,2.79047619047619,2.95238095238095
"Giovanny Urshela","3B","CLE","@TEX","R",9,2000,5.62,1.97,0,3.25,6.96,7.5,NA,4.79,NA,0,-115,-0.18,7.5,0.94,NA,NA,2.81,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Abraham Almonte","OF","CLE","@TEX","S",8,2100,5.5,3.42,0,7.48,8.18,0.2,8.6,6.08,2.45,0,-115,-0.18,7.5,0.94,"A. Almonte",24.9,2.61904761904762,11.8571428571429
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Erick Aybar","SS","SDP","@LAD","S",7,2100,5.3,1.18,0,NA,5.18,5,7.3,4.17,4.84,0,304,2.34,6.5,NA,"E. Aybar",0,2.52380952380952,0
"Austin Hedges","C","SDP","@LAD","R",6,2000,5.28,1.01,0,4.02,5.8,6.6,5.3,4.16,5.82,0,304,2.34,6.5,1.04,"A. Hedges",0,2.64,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ben Revere","OF","LAA","@OAK","L",7,2000,4.81,3.33,0,6.18,8.4,0.2,NA,6.66,2.62,0,-111,-0.119999999999999,8,1.03,NA,0,2.405,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Adrian Beltre","3B","TEX","CLE","R",NA,3500,3.61,3.73,0,NA,NA,0,NA,7.44,3.38,0,105,0.18,7.5,NA,NA,NA,1.03142857142857,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lonnie Chisenhall","OF","CLE","@TEX","L",NA,2600,3.13,3.4,0,NA,NA,0,NA,6.74,2.65,0,-115,-0.18,7.5,NA,NA,NA,1.20384615384615,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
