"Player","Pos","Team","Opp","Hand","Order","Salary","Projection","SE","DvP","DFC","FanGraphs","FantasyPros","numberFire","RotoGrinders","Rotowire","DvPRank","Line","Spread","OU","ParkFactor","Label","Actual","Value","actValue"
"Cesar Hernandez","2B","PHI","@CIN","S",1,2400,10.14,0.92,0,11.27,10.46,9.4,11,8.96,9.73,0,105,0.199999999999999,8.5,0.98,"C. Hernandez",18.7,4.225,7.79166666666667
"Alex Bregman","3B","HOU","SEA","R",2,3300,10.11,1.69,0,12.51,10.92,9.3,9.8,7.48,10.63,0,-144,-0.76,8.5,1,"A. Bregman",15.2,3.06363636363636,4.60606060606061
"Jose Peraza","2B","CIN","PHI","R",2,3000,10.09,1.14,0,11.24,10.4,11.4,8.6,9.03,9.89,0,-115,-0.199999999999999,8.5,0.98,"J. Peraza",6,3.36333333333333,2
"Adrian Gonzalez","1B","LAD","SDP","L",4,2800,10.05,1.28,0,12.28,9.64,9.3,10.2,8.51,10.4,0,-344,-2.34,6.5,1.04,"A. Gonzalez",18.4,3.58928571428571,6.57142857142857
"Jayson Werth","OF","WAS","MIA","R",6,2900,10.04,1,0,11.72,9.95,NA,9.2,10,9.34,0,-197,-1.46,8,1,"J. Werth",0,3.46206896551724,0
"Kendrys Morales","1B","TOR","@BAL","S",4,2900,10.04,1.83,0,12.94,10.21,8.2,10.3,7.94,10.65,0,123,0.559999999999999,8.5,0.97,"K. Morales",6.5,3.46206896551724,2.24137931034483
"Victor Martinez","C","DET","@CHW","S",4,3000,10.01,1.1,0,11.91,8.96,10,10.6,9.36,9.23,0,-124,-0.32,7,0.98,"V. Martinez",NA,3.33666666666667,NA
"Todd Frazier","3B","CHW","DET","R",5,3400,9.94,1.4,0,11.71,9.16,10.5,10.4,7.61,10.25,0,114,0.32,7,0.98,"T. Frazier",NA,2.92352941176471,NA
"Alex Gordon","OF","KCR","@MIN","L",1,2800,9.92,1.26,0,11.79,9.62,9.6,10.9,8.18,9.44,0,-105,0.0999999999999996,8,0.99,"A. Gordon",3,3.54285714285714,1.07142857142857
"Tommy Joseph","1B","PHI","@CIN","R",6,2100,9.9,1.38,0,11.07,10.56,8.2,10.3,8.12,11.14,0,105,0.199999999999999,8.5,0.98,"T. Joseph",0,4.71428571428571,0
"Nick Castellanos","3B","DET","@CHW","R",2,2900,9.89,1.04,0,11.63,9.46,9.3,10.7,8.94,9.34,0,-124,-0.32,7,0.98,"N. Castellanos",NA,3.41034482758621,NA
"Jay Bruce","OF","NYM","ATL","L",6,2800,9.87,1.07,0,11.62,8.89,NA,10.1,9.31,9.45,0,-176,-1.06,7,1.06,"J. Bruce",15.7,3.525,5.60714285714286
"Jose Abreu","1B","CHW","DET","R",4,3000,9.87,1.85,0,13.06,9.65,9.7,10.3,7.38,9.14,0,114,0.32,7,0.98,"J. Abreu",NA,3.29,NA
"Rajai Davis","OF","OAK","LAA","R",1,2600,9.81,0.97,0,9.99,10.34,10.1,9.3,8.18,10.97,0,101,0.120000000000001,8,1.03,"R. Davis",0,3.77307692307692,0
"Neil Walker","2B","NYM","ATL","S",5,2600,9.8,1.41,0,12.25,9.26,NA,9.7,8.71,9.1,0,-176,-1.06,7,1.06,"N. Walker",6.2,3.76923076923077,2.38461538461538
"Scott Schebler","OF","CIN","PHI","L",6,2800,9.8,1.49,0,11.94,9.48,10,8.5,7.95,10.93,0,-115,-0.199999999999999,8.5,0.98,"S. Schebler",9.2,3.5,3.28571428571429
"Yasmani Grandal","C","LAD","SDP","S",7,2800,9.78,1.54,0,12.4,9.08,8.5,10.4,8.24,10.07,0,-344,-2.34,6.5,1.04,"Y. Grandal",40.9,3.49285714285714,14.6071428571429
"Salvador Perez","C","KCR","@MIN","R",5,2900,9.78,1.64,0,9.83,9.52,12.7,10.1,8.01,8.51,0,-105,0.0999999999999996,8,0.99,"S. Perez",3,3.37241379310345,1.03448275862069
"Troy Tulowitzki","SS","TOR","@BAL","R",5,2900,9.76,1.15,0,10.82,9.36,11.1,9.7,7.88,9.68,0,123,0.559999999999999,8.5,0.97,"T. Tulowitzki",0,3.36551724137931,0
"Asdrubal Cabrera","SS","NYM","ATL","S",2,2800,9.76,1.87,0,12.68,8.8,NA,10.3,7.78,9.24,0,-176,-1.06,7,1.06,"A. Cabrera",21.7,3.48571428571429,7.75
"Kyle Seager","3B","SEA","@HOU","L",5,3500,9.76,1.82,0,11.97,8.76,8.9,11.6,7.23,10.08,0,134,0.76,8.5,1,"K. Seager",6,2.78857142857143,1.71428571428571
"Andrew Benintendi","OF","BOS","PIT","L",2,2900,9.75,1.56,0,10.03,11.95,NA,7.7,9.03,10.06,0,-151,-0.880000000000001,8.5,0.95,"A. Benintendi",25.7,3.36206896551724,8.86206896551724
"Christian Yelich","OF","MIA","@WAS","L",3,3200,9.73,1.67,0,NA,9.96,NA,11.6,7.54,9.84,0,183,1.46,8,NA,"C. Yelich",0,3.040625,0
"Logan Forsythe","2B","LAD","SDP","R",5,2800,9.72,0.95,0,11.5,9.18,8.7,9.8,9.6,9.54,0,-344,-2.34,6.5,1.04,"L. Forsythe",15.4,3.47142857142857,5.5
"Ryan Zimmerman","1B","WAS","MIA","R",5,2400,9.7,1.13,0,9.93,10.73,NA,10.7,8.13,9,0,-197,-1.46,8,1,"R. Zimmerman",6,4.04166666666667,2.5
"Brandon Moss","1B","KCR","@MIN","L",6,2500,9.7,1.41,0,11.78,8.93,9.5,10.9,7.87,9.22,0,-105,0.0999999999999996,8,0.99,"B. Moss",0,3.88,0
"Ryon Healy","3B","OAK","LAA","R",3,3000,9.69,1.21,0,11.85,8.94,9.6,9.6,8.25,9.9,0,101,0.120000000000001,8,1.03,"R. Healy",0,3.23,0
"Jose Reyes","3B","NYM","ATL","S",1,2700,9.68,1.65,0,12.58,9.08,NA,9.2,8.49,9.04,0,-176,-1.06,7,1.06,"J. Reyes",6.2,3.58518518518519,2.2962962962963
"Michael Brantley","OF","CLE","@TEX","L",3,3200,9.62,1.38,0,8.96,10.47,10.9,8.5,7.8,11.1,0,-115,-0.18,7.5,0.94,"M. Brantley",6.5,3.00625,2.03125
"Keon Broxton","OF","MIL","COL","R",6,3000,9.6,1.66,0,11.83,8.72,NA,9.4,7.52,10.53,0,115,0.379999999999999,8,0.96,"K. Broxton",9,3.2,3
"Shin-Soo Choo","OF","TEX","CLE","L",3,2800,9.57,1.47,0,11.48,9.34,9.1,8.6,7.74,11.19,0,105,0.18,7.5,0.94,"S. Choo",3,3.41785714285714,1.07142857142857
