"Player","Pos","Team","Opp","Hand","Order","Salary","Projection","SE","DvP","DFC","FanGraphs","FantasyPros","lineupLab","numberFire","RotoGrinders","Rotowire","SwishAnalytics","DvPRank","Line","Spread","OU","ParkFactor","Label"
"Jake McGee",NA,NA,NA,NA,NA,NA,1.7,0,NA,NA,NA,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bryan Shaw",NA,NA,NA,NA,NA,NA,1.7,0,NA,NA,NA,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nick Vincent",NA,NA,NA,NA,NA,NA,1.7,0,NA,NA,NA,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Liam Hendriks",NA,NA,NA,NA,NA,NA,1.7,0,NA,NA,NA,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Xavier Cedeno",NA,NA,NA,NA,NA,NA,1.7,0,NA,NA,NA,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Erasmo Ramirez",NA,NA,NA,NA,NA,NA,1.7,0,NA,NA,NA,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Keone Kela",NA,NA,NA,NA,NA,NA,1.7,0,NA,NA,NA,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brett Cecil",NA,NA,NA,NA,NA,NA,1.7,0,NA,NA,NA,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pedro Strop",NA,NA,NA,NA,NA,NA,1.7,0,NA,NA,NA,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ian Desmond",NA,NA,NA,NA,NA,NA,1.7,2.4,NA,NA,NA,0,NA,NA,NA,3.39,NA,NA,NA,NA,NA,NA,NA
"Adrian Beltre",NA,NA,NA,NA,NA,NA,1.69,2.39,NA,NA,NA,0,NA,NA,NA,3.38,NA,NA,NA,NA,NA,NA,NA
"Tom Murphy",NA,NA,NA,NA,NA,NA,1.66,2.34,NA,NA,NA,0,NA,NA,NA,3.31,NA,NA,NA,NA,NA,NA,NA
"Pat Valaika",NA,NA,NA,NA,NA,NA,1.62,2,NA,3.03,NA,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.96,NA
"Jeremy Jeffress",NA,NA,NA,NA,NA,NA,1.6,0,NA,NA,NA,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Danny Farquhar",NA,NA,NA,NA,NA,NA,1.6,0,NA,NA,NA,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Evan Scribner",NA,NA,NA,NA,NA,NA,1.6,0,NA,NA,NA,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Zach McAllister",NA,NA,NA,NA,NA,NA,1.6,0,NA,NA,NA,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ryan Dull",NA,NA,NA,NA,NA,NA,1.6,0,NA,NA,NA,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jonathan Broxton",NA,NA,NA,NA,NA,NA,1.6,0,NA,NA,NA,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Santiago Casilla",NA,NA,NA,NA,NA,NA,1.6,0,NA,NA,NA,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Koji Uehara",NA,NA,NA,NA,NA,NA,1.6,0,NA,NA,NA,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mike Dunn",NA,NA,NA,NA,NA,NA,1.6,0,NA,NA,NA,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tony Barnette",NA,NA,NA,NA,NA,NA,1.6,0,NA,NA,NA,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dan Altavilla",NA,NA,NA,NA,NA,NA,1.6,0,NA,NA,NA,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alex Dickerson",NA,NA,NA,NA,NA,NA,1.57,2.22,NA,NA,NA,0,NA,NA,NA,3.14,NA,NA,NA,NA,NA,NA,NA
"Dan Jennings",NA,NA,NA,NA,NA,NA,1.5,0,NA,NA,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jose Diaz",NA,NA,NA,NA,NA,NA,1.5,0,NA,NA,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dan Otero",NA,NA,NA,NA,NA,NA,1.5,0,NA,NA,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Justin Grimm",NA,NA,NA,NA,NA,NA,1.5,0,NA,NA,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jose Alvarez",NA,NA,NA,NA,NA,NA,1.5,0,NA,NA,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sergio Romo",NA,NA,NA,NA,NA,NA,1.5,0,NA,NA,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Derek Law",NA,NA,NA,NA,NA,NA,1.5,0,NA,NA,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dan Coulombe",NA,NA,NA,NA,NA,NA,1.5,0,NA,NA,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Carlos Estevez",NA,NA,NA,NA,NA,NA,1.5,0,NA,NA,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Matt Duffy",NA,NA,NA,NA,NA,NA,1.42,2.01,NA,NA,NA,0,NA,NA,NA,2.84,NA,NA,NA,NA,NA,NA,NA
"Tom Layne",NA,NA,NA,NA,NA,NA,1.4,0,NA,NA,NA,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chasen Shreve",NA,NA,NA,NA,NA,NA,1.4,0,NA,NA,NA,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Boone Logan",NA,NA,NA,NA,NA,NA,1.4,0,NA,NA,NA,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Michael Ynoa",NA,NA,NA,NA,NA,NA,1.4,0,NA,NA,NA,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jacob Barnes",NA,NA,NA,NA,NA,NA,1.4,0,NA,NA,NA,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Colby Rasmus",NA,NA,NA,NA,NA,NA,1.4,1.98,NA,NA,NA,0,NA,NA,NA,2.8,NA,NA,NA,NA,NA,NA,NA
"Luis Valbuena",NA,NA,NA,NA,NA,NA,1.36,1.93,NA,NA,NA,0,NA,NA,NA,2.73,NA,NA,NA,NA,NA,NA,NA
"Lonnie Chisenhall",NA,NA,NA,NA,NA,NA,1.32,1.87,NA,NA,NA,0,NA,NA,NA,2.65,NA,NA,NA,NA,NA,NA,NA
"Didi Gregorius",NA,NA,NA,NA,NA,NA,1.31,1.86,NA,NA,NA,0,NA,NA,NA,2.63,NA,NA,NA,NA,NA,NA,NA
"Chris Herrmann",NA,NA,NA,NA,NA,NA,1.31,1.56,NA,NA,NA,0.2,NA,NA,NA,2.41,NA,NA,NA,NA,NA,NA,NA
"Cory Gearrin",NA,NA,NA,NA,NA,NA,1.3,0,NA,NA,NA,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Miguel Socolovich",NA,NA,NA,NA,NA,NA,1.3,0,NA,NA,NA,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"George Kontos",NA,NA,NA,NA,NA,NA,1.3,0,NA,NA,NA,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Luis Avilan",NA,NA,NA,NA,NA,NA,1.3,0,NA,NA,NA,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tony Sipp",NA,NA,NA,NA,NA,NA,1.3,0,NA,NA,NA,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kyle Ryan",NA,NA,NA,NA,NA,NA,1.3,0,NA,NA,NA,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alexander Claudio",NA,NA,NA,NA,NA,NA,1.3,0,NA,NA,NA,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Huston Street",NA,NA,NA,NA,NA,NA,1.3,0,NA,NA,NA,NA,NA,1.3,NA,NA,NA,NA,NA,NA,NA,NA,"H. Street"
"Joey Wendle",NA,NA,NA,NA,NA,NA,1.27,1.8,NA,0,NA,NA,NA,NA,NA,2.54,NA,NA,NA,NA,NA,1.03,NA
"Bud Norris",NA,NA,NA,NA,NA,NA,1.2,0,NA,NA,NA,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jordan Lyles",NA,NA,NA,NA,NA,NA,1.2,0,NA,NA,NA,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jared Hughes",NA,NA,NA,NA,NA,NA,1.2,0,NA,NA,NA,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"James Pazos",NA,NA,NA,NA,NA,NA,1.2,0,NA,NA,NA,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Matthew Bowman",NA,NA,NA,NA,NA,NA,1.2,0,NA,NA,NA,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jonathan Holder",NA,NA,NA,NA,NA,NA,1.2,0,NA,NA,NA,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jose Torres",NA,NA,NA,NA,NA,NA,1.2,0,NA,NA,NA,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Shawn O'Malley",NA,NA,NA,NA,NA,NA,1.17,1.65,NA,NA,NA,0,NA,NA,NA,2.34,NA,NA,NA,NA,NA,NA,NA
"Andre Ethier",NA,NA,NA,NA,NA,NA,1.17,1.65,NA,NA,NA,0,NA,NA,NA,2.33,NA,NA,NA,NA,NA,NA,NA
"Mac Williamson",NA,NA,NA,NA,NA,NA,1.15,1.62,NA,NA,NA,0,NA,NA,NA,2.29,NA,NA,NA,NA,NA,NA,NA
"Blaine Hardy",NA,NA,NA,NA,NA,NA,1.1,0,NA,NA,NA,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Scott Oberg",NA,NA,NA,NA,NA,NA,1.1,0,NA,NA,NA,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Marc Rzepczynski",NA,NA,NA,NA,NA,NA,1.1,0,NA,NA,NA,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Carlos Sanchez",NA,NA,NA,NA,NA,NA,1.1,0,NA,NA,NA,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Andrew Susac",NA,NA,NA,NA,NA,NA,1.07,1.52,NA,NA,NA,0,NA,NA,NA,2.15,NA,NA,NA,NA,NA,NA,NA
