"Player","Pos","Team","Opp","Hand","Order","Salary","Projection","SE","DvP","DFC","FanGraphs","FantasyPros","lineupLab","numberFire","RotoGrinders","Rotowire","SwishAnalytics","DvPRank","Line","Spread","OU","ParkFactor","Label"
"Erick Aybar","SS","SDP","@LAD","S",7,2100,5.63,2.65,0,6.02,5.98,0,NA,8.4,5.82,7.19,5.97,0,205,1.66,7.5,1.04,"E. Aybar"
"Mallex Smith","OF","TBR","NYY","L",NA,2000,5.53,3.39,0,6.62,NA,0.2,NA,NA,5.04,9.48,6.3,0,101,0.12,7.5,1.04,NA
"Delino DeShields","OF","TEX","CLE","R",9,2000,5.41,3.34,0,5.51,NA,0,NA,NA,5.75,9.07,6.74,0,NA,NA,NA,0.94,NA
"Rickie Weeks","OF","TBR","NYY","R",8,2000,5.29,5.1,0,0,NA,0.2,NA,11.4,6.05,8.79,NA,0,101,0.12,7.5,1.04,"R. Weeks"
"Jedd Gyorko","3B","STL","CHC","R",NA,2600,5.28,3.74,0,8.94,NA,0.2,NA,8.5,5.92,2.82,NA,0,126,0.54,7.5,1.02,"J. Gyorko"
"Jeff Mathis","C","ARI","SFG","R",NA,2100,5.21,1.71,0,5.09,6.79,5.7,NA,5.4,4.04,2.18,7.27,0,140,0.92,9,0.96,"J. Mathis"
"Chris Iannetta","C","ARI","SFG","R",8,2000,5.13,3.53,0,7.82,NA,0.2,NA,NA,4.93,7.56,NA,0,140,0.92,9,0.96,NA
"Abraham Almonte","OF","CLE","@TEX","S",9,2100,5.07,3.57,0,7.53,NA,0.2,NA,NA,6.69,2.46,8.49,0,NA,NA,NA,0.94,NA
"Jefry Marte","3B","LAA","@OAK","R",NA,2500,5.02,4.23,0,9.7,NA,0.3,NA,NA,7.22,2.85,NA,0,-104,0.0999999999999996,7.5,1.03,NA
"Luis Sardinas",NA,NA,NA,NA,NA,NA,4.88,2.69,NA,7.28,NA,5.4,NA,NA,NA,1.97,NA,NA,NA,NA,NA,1.04,NA
"Evan Gattis",NA,NA,NA,NA,NA,NA,4.67,5.49,NA,10.79,NA,0.2,NA,NA,NA,3.01,NA,NA,NA,NA,NA,1,NA
"Thomas La Stella",NA,NA,NA,NA,NA,NA,4.57,0,NA,4.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.02,NA
"Ben Revere",NA,NA,NA,NA,NA,NA,4.39,3.59,NA,7.12,7.64,0.2,NA,NA,NA,2.61,NA,NA,NA,NA,NA,1.03,NA
"Peter Bourjos",NA,NA,NA,NA,NA,NA,4.33,3.17,NA,6.02,6.86,0.2,NA,6.9,NA,1.65,NA,NA,NA,NA,NA,1.04,"P. Bourjos"
"Roberto Perez",NA,NA,NA,NA,NA,NA,4.32,3.91,NA,6.37,8.71,0.2,NA,NA,NA,1.99,NA,NA,NA,NA,NA,0.94,NA
"Marwin Gonzalez","1B","HOU","SEA","S",NA,2300,4.16,3.47,0,7.54,NA,0.2,NA,NA,6.56,2.35,NA,0,-157,-0.98,8.5,1,NA
"Matt Adams","1B","STL","CHC","L",4,2400,4.12,3.39,0,6.49,NA,0.2,NA,NA,7.38,2.43,NA,0,126,0.54,7.5,1.02,NA
"Chris Carter",NA,NA,NA,NA,NA,NA,4.1,4.6,NA,9.17,NA,0.2,NA,NA,NA,2.94,NA,NA,NA,NA,NA,1.04,NA
"Adam Rosales",NA,NA,NA,NA,NA,NA,4.04,5.43,NA,7.88,NA,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.03,NA
"Gorkys Hernandez",NA,NA,NA,NA,NA,NA,4.01,3.96,NA,3.83,NA,0.2,NA,9.5,NA,2.51,NA,NA,NA,NA,NA,0.96,"G. Hernandez"
"Jesus Aguilar",NA,NA,NA,NA,NA,NA,4.01,3.94,NA,1.1,8.05,0.2,NA,6.7,NA,NA,NA,NA,NA,NA,NA,0.96,"J. Aguilar"
"Nick Hundley",NA,NA,NA,NA,NA,NA,3.78,4.14,NA,8.31,NA,0.2,NA,NA,NA,2.84,NA,NA,NA,NA,NA,0.96,NA
"Daniel Descalso",NA,NA,NA,NA,NA,NA,3.68,4.93,NA,7.17,NA,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.96,NA
"Albert Almora",NA,NA,NA,NA,NA,NA,3.59,2.79,NA,5.47,NA,0.3,NA,NA,NA,2.29,6.29,NA,NA,NA,NA,1.02,NA
"Chase Utley",NA,NA,NA,NA,NA,NA,3.56,3.74,NA,7.59,NA,0.2,NA,NA,NA,2.89,NA,NA,NA,NA,NA,1.04,NA
"Nick Franklin",NA,NA,NA,NA,NA,NA,3.42,4.83,NA,6.83,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.04,NA
"Alex Wood",NA,NA,NA,NA,NA,NA,3.4,0,NA,NA,NA,3.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kenley Jansen",NA,NA,NA,NA,NA,NA,3.35,1.2,NA,NA,NA,2.5,NA,4.2,NA,NA,NA,NA,NA,NA,NA,NA,"K. Jansen"
"Enrique Hernandez","OF","LAD","SDP","R",NA,2000,3.32,2.98,0,5.06,NA,0.2,NA,NA,6.54,1.47,NA,0,-222,-1.66,7.5,1.04,NA
"Daniel Robertson","OF","TBR","NYY","R",1,2000,3.31,3.71,0,0,6.67,0.2,NA,NA,6.37,NA,NA,0,101,0.12,7.5,1.04,NA
"Dan Robertson",NA,NA,NA,NA,NA,NA,3.3,4.67,NA,0,NA,NA,NA,6.6,NA,NA,NA,NA,NA,NA,NA,0.94,"D. Robertson"
"German Marquez",NA,NA,NA,NA,NA,NA,3.3,0,NA,NA,NA,3.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dellin Betances",NA,NA,NA,NA,NA,NA,3.3,0,NA,NA,NA,3.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Robinson Chirinos",NA,NA,NA,NA,NA,NA,3.28,3.5,NA,7.08,NA,0.2,NA,NA,NA,2.55,NA,NA,NA,NA,NA,0.94,NA
"Miguel Montero",NA,NA,NA,NA,NA,NA,3.27,3.45,NA,7,NA,0.2,NA,NA,NA,2.6,NA,NA,NA,NA,NA,1.02,NA
"Taylor Motter","SS","SEA","@HOU","R",NA,2400,3.2,2.67,0,4.07,NA,0.2,NA,NA,5.32,NA,NA,0,147,0.98,8.5,1,NA
"Archie Bradley",NA,NA,NA,NA,NA,NA,3.2,0,NA,NA,NA,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mike Montgomery",NA,NA,NA,NA,NA,NA,3.2,0,NA,NA,NA,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aroldis Chapman",NA,NA,NA,NA,NA,NA,3.2,0,NA,NA,NA,NA,NA,3.2,NA,NA,NA,NA,NA,NA,NA,NA,"A. Chapman"
"Alex Colome",NA,NA,NA,NA,NA,NA,3.2,0,NA,NA,NA,NA,NA,3.2,NA,NA,NA,NA,NA,NA,NA,NA,"A. Colome"
"Andrew Miller",NA,NA,NA,NA,NA,NA,3.1,0,NA,NA,NA,3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ken Giles",NA,NA,NA,NA,NA,NA,3.1,0,NA,NA,NA,NA,NA,3.1,NA,NA,NA,NA,NA,NA,NA,NA,"K. Giles"
"Matt Szczur",NA,NA,NA,NA,NA,NA,3.08,2.61,NA,4.93,NA,NA,NA,NA,NA,1.24,NA,NA,NA,NA,NA,1.02,NA
"Kirk Nieuwenhuis",NA,NA,NA,NA,NA,NA,3.04,3.3,NA,6.7,NA,0.3,NA,NA,NA,2.11,NA,NA,NA,NA,NA,0.96,NA
"Anibal Sanchez",NA,NA,NA,NA,NA,NA,3,0,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Seung Hwan Oh",NA,NA,NA,NA,NA,NA,3,0,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,"S. Oh"
"Conor Gillaspie",NA,NA,NA,NA,NA,NA,2.97,3.36,NA,6.7,NA,0.2,NA,NA,NA,2,NA,NA,NA,NA,NA,0.96,NA
"Cody Allen",NA,NA,NA,NA,NA,NA,2.95,0.64,NA,NA,NA,2.5,NA,3.4,NA,NA,NA,NA,NA,NA,NA,NA,"C. Allen"
"Edwin Diaz",NA,NA,NA,NA,NA,NA,2.95,0.64,NA,NA,NA,2.5,NA,3.4,NA,NA,NA,NA,NA,NA,NA,NA,"E. Diaz"
"Carlos Perez",NA,NA,NA,NA,NA,NA,2.86,2.76,NA,2.66,NA,0.2,NA,NA,NA,5.71,NA,NA,NA,NA,NA,1.03,NA
"Carlos Ruiz",NA,NA,NA,NA,NA,NA,2.82,3.04,NA,6.15,NA,0.2,NA,NA,NA,2.1,NA,NA,NA,NA,NA,1,NA
"Bryan Mitchell",NA,NA,NA,NA,NA,NA,2.8,0,NA,NA,NA,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ryan Rua",NA,NA,NA,NA,NA,NA,2.79,2.82,NA,5.8,NA,0.2,NA,NA,NA,2.38,NA,NA,NA,NA,NA,0.94,NA
"Jose Martinez",NA,NA,NA,NA,NA,NA,2.73,3.86,NA,5.46,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.02,NA
"Nick Ahmed",NA,NA,NA,NA,NA,NA,2.65,2.86,NA,5.75,NA,0.1,NA,NA,NA,2.11,NA,NA,NA,NA,NA,0.96,NA
"Chris Marrero","1B","SFG","@ARI","R",7,2200,2.61,3.36,0,0,3.04,0.2,NA,NA,7.21,NA,NA,0,-150,-0.92,9,0.96,NA
"Manny Pina",NA,NA,NA,NA,NA,NA,2.61,4.35,NA,0,NA,0.2,NA,NA,NA,7.63,NA,NA,NA,NA,NA,0.96,NA
