"Player","Pos","Pos2","Team","Opp","Hand","Order","Salary","Projection","SE","DvP","DvP2","DFC","FanGraphs","FantasyPros","lineupLab","numberFire","RotoGrinders","Rotowire","SwishAnalytics","DvPRank","Line","Spread","OU","ParkFactor","Label"
"Brett Gardner","OF","","NYY","@BAL","L",1,4200,7.31,0.9,0,NA,8.55,7.59,7.2,NA,7.1,5.71,8.04,6.99,0,109,0.279999999999999,8.5,0.97,"B. Gardner"
"Gerardo Parra","OF","","COL","LAD","L",6,3800,7.3,0.71,0,NA,7.19,7.82,6.6,NA,7.4,8.1,7.82,6.15,0,116,0.5,10,0.83,"G. Parra"
"Jayson Werth","OF","","WAS","@PHI","R",6,3500,7.29,1.06,0,NA,9.16,7.21,6.7,NA,8.2,6.35,7.2,6.22,0,-157,-0.859999999999999,7.5,1,"J. Werth"
"Odubel Herrera","2B","OF","PHI","WAS","L",3,3700,7.28,0.55,0,NA,8.49,7,6.8,NA,7.2,7.21,7.11,7.18,0,147,0.86,7.5,1,"O. Herrera"
"Jose Peraza","2B","SS","CIN","@STL","R",2,3300,7.27,0.97,0,NA,8.32,7.94,7.4,NA,7,5.47,7.97,6.77,0,172,1.3,8,1.02,"J. Peraza"
"Andrew Benintendi","OF","","BOS","@DET","L",2,3400,7.25,1.08,0,NA,7.24,7.24,6.7,NA,8.7,6.2,8.66,6.02,0,-112,-0.12,7.5,0.99,"A. Benintendi"
"Dansby Swanson","SS","","ATL","@PIT","R",2,3000,7.25,0.73,0,NA,7.14,6.81,8.2,NA,7.8,5.93,7.39,7.46,0,125,0.559999999999999,8,1.04,"D. Swanson"
"Yasmany Tomas","OF","","ARI","CLE","R",5,3500,7.23,1.33,0,NA,9.94,6.93,6.2,NA,7.3,5.8,7.44,7.03,0,176,1.6,9.5,0.96,"Y. Tomas"
"Alex Gordon","OF","","KCR","@HOU","L",1,3300,7.22,0.91,0,NA,8.09,6.76,7.9,NA,7.4,5.44,7.79,7.17,0,178,1.48,8.5,1,"A. Gordon"
"Ryan Schimpf","2B","3B","SDP","SFG","L",5,3200,7.15,1.11,0,NA,8.62,6.64,7.3,NA,6.3,5.56,8.43,7.2,0,145,0.84,7.5,1.05,"R. Schimpf"
"Shin-Soo Choo","OF","","TEX","OAK","L",2,4100,7.12,1.15,0,NA,8.94,7.06,7,NA,7.8,5.68,6.24,NA,0,105,0.24,9.5,0.94,"S. Choo"
"Victor Martinez","1B","","DET","BOS","S",4,3300,7.11,0.71,0,NA,8.66,6.61,6.8,NA,6.6,7.02,7.05,7,0,102,0.12,7.5,0.99,"V. Martinez"
"Mitch Haniger","OF","","SEA","@LAA","R",2,3100,7.1,0.93,0,NA,7.09,6.64,9.1,NA,6.8,6.2,7.09,6.76,0,104,0.18,8.5,1.05,"M. Haniger"
"Victor Martinez","1B","","DET","BOS","S",4,3300,7.09,0.72,0,NA,8.66,6.61,6.8,NA,6.6,7.02,7.05,6.86,0,102,0.12,7.5,0.99,"V. Martinez"
"Troy Tulowitzki","SS","","TOR","@TBR","R",5,3500,7.07,0.88,0,NA,8.74,6.38,7.6,NA,7.1,6.54,6.99,6.16,0,-121,-0.300000000000001,8,1.04,"T. Tulowitzki"
"Trevor Plouffe","3B","","OAK","@TEX","R",6,3800,7.06,0.65,0,NA,NA,6.82,7,NA,7.4,6.24,8.14,6.74,0,-115,-0.24,9.5,NA,"T. Plouffe"
"Yangervis Solarte","2B","3B","SDP","SFG","S",4,3100,7.05,0.92,0,NA,8.39,6.51,7.8,NA,7.3,5.97,7.38,5.99,0,145,0.84,7.5,1.05,"Y. Solarte"
"Jarrod Dyson","OF","","SEA","@LAA","L",7,2600,7.05,1.77,0,NA,6.86,6.67,10.4,NA,7.5,5.32,7.54,5.06,0,104,0.18,8.5,1.05,"J. Dyson"
"Brandon Phillips","2B","","ATL","@PIT","R",6,3200,7.04,1.3,0,NA,8.64,6.4,8.3,NA,7.9,4.94,6.63,6.47,0,125,0.559999999999999,8,1.04,"B. Phillips"
"Brandon Guyer","OF","","CLE","@ARI","R",7,3100,7.03,1.18,0,NA,5.61,8.13,6.5,NA,8.1,5.87,7.99,NA,0,-187,-1.6,9.5,0.96,"B. Guyer"
"Robbie Grossman","OF","","MIN","@CHW","S",2,3200,7.03,1.03,0,NA,6.21,6,7.7,NA,8.3,5.7,7.65,7.65,0,118,0.440000000000001,8,0.98,"R. Grossman"
"Yunel Escobar","3B","SS","LAA","SEA","R",1,2900,7.02,0.51,0,NA,8.06,6.87,6.6,NA,7.3,6.61,6.83,6.9,0,-114,-0.18,8.5,1.05,"Y. Escobar"
"J.T. Realmuto","C","","MIA","@NYM","R",2,2800,7.01,0.98,0,NA,7.93,6.35,8.2,NA,7,5.55,7.69,6.36,0,156,0.92,7,1.06,"J. Realmuto"
"Nick Markakis","OF","","ATL","@PIT","L",5,3300,7,0.96,0,NA,8.26,6.15,8.1,NA,7.1,5.77,6.35,7.29,0,125,0.559999999999999,8,1.04,"N. Markakis"
"Justin Bour","1B","","MIA","@NYM","L",5,2600,6.97,1.07,0,NA,7.92,6.2,8,NA,6.6,5.25,8.04,6.8,0,156,0.92,7,1.06,"J. Bour"
"Chase Headley","3B","","NYY","@BAL","S",6,3500,6.97,1.15,0,NA,8.04,6.91,8.2,NA,7.3,4.74,7.02,6.58,0,109,0.279999999999999,8.5,0.97,"C. Headley"
"Cesar Hernandez","2B","","PHI","WAS","S",1,3100,6.93,0.95,0,NA,8.62,7.05,5.8,NA,7.3,6,6.56,7.21,0,147,0.86,7.5,1,"C. Hernandez"
"Travis Shaw","1B","3B","MIL","CHC","L",4,3300,6.93,0.63,0,NA,6.85,7.13,7.1,NA,6.7,5.69,7.6,7.42,0,165,1.2,8,0.96,"T. Shaw"
"Aaron Hicks","OF","","NYY","@BAL","S",2,3300,6.93,0.72,0,NA,7.21,7.63,7.2,NA,6.7,5.48,7.47,6.85,0,109,0.279999999999999,8.5,0.97,"A. Hicks"
"Keon Broxton","OF","","MIL","CHC","R",7,3600,6.93,1.32,0,NA,9.21,6.55,7.1,NA,6.8,4.91,7.64,6.28,0,165,1.2,8,0.96,"K. Broxton"
"Yadier Molina","C","","STL","CIN","R",5,3300,6.92,0.83,0,NA,8.51,6.89,6.8,NA,7.4,6.06,6.21,6.59,0,-182,-1.3,8,1.02,"Y. Molina"
"Chase Headley","3B","","NYY","@BAL","S",6,3500,6.91,1.18,0,NA,8.04,6.91,8.2,NA,7.3,4.74,7.02,6.17,0,109,0.279999999999999,8.5,0.97,"C. Headley"
"Stephen Drew","2B","SS","WAS","@PHI","L",7,2700,6.88,0.73,0,NA,6.88,NA,7.6,NA,7.6,5.66,6.97,6.56,0,-157,-0.859999999999999,7.5,1,"S. Drew"
"Jhonny Peralta","3B","SS","STL","CIN","R",6,3100,6.85,0.47,0,NA,7.51,NA,6.4,NA,7,7.21,6.67,6.3,0,-182,-1.3,8,1.02,"J. Peralta"
"Chris Young","OF","","BOS","@DET","R",4,2700,6.83,2.66,0,NA,8.9,7.43,1.1,NA,8.2,6.62,8.55,7.04,0,-112,-0.12,7.5,0.99,"C. Young"
"Adam Frazier","2B","OF","PIT","ATL","L",1,2800,6.83,0.78,0,NA,6.73,NA,8,NA,7.3,5.68,6.56,6.69,0,-135,-0.56,8,1.04,"A. Frazier"
"Steve Souza","OF","","TBR","TOR","R",5,3300,6.82,0.74,0,NA,8.4,6.53,6.9,NA,6.3,6.19,6.75,6.7,0,111,0.3,8,1.04,"S. Souza"
"Mallex Smith","OF","","TBR","TOR","L",8,3500,6.82,1.28,0,NA,8.25,6.69,7.9,NA,7.5,4.61,7.06,5.73,0,111,0.3,8,1.04,"M. Smith"
"Mallex Smith","OF","","TBR","TOR","L",8,3500,6.81,1.29,0,NA,8.25,6.69,7.9,NA,7.5,4.61,7.06,5.69,0,111,0.3,8,1.04,"M. Smith"
"Trey Mancini","1B","","BAL","NYY","R",6,3300,6.8,0.9,0,NA,6.93,6.98,8.4,NA,5.9,6.48,7.22,5.7,0,-119,-0.279999999999999,8.5,0.97,"T. Mancini"
"Nomar Mazara","OF","","TEX","OAK","L",3,4000,6.8,0.95,0,NA,8.29,7,5.7,NA,NA,6.36,6.06,7.39,0,105,0.24,9.5,0.94,NA
"Maikel Franco","3B","","PHI","WAS","R",4,3900,6.79,0.76,0,NA,8.22,7.22,6.3,NA,6.6,6.86,6.45,5.85,0,147,0.86,7.5,1,"M. Franco"
"Evan Gattis","C","","HOU","KCR","R",6,3800,6.78,2.36,0,NA,7.79,NA,9.2,NA,7.7,6.69,2.3,7,0,-190,-1.48,8.5,1,"E. Gattis"
"Lucas Duda","1B","","NYM","MIA","L",7,3300,6.78,1.1,0,NA,7.6,6.72,8,NA,5.7,5.11,7.82,6.5,0,-166,-0.92,7,1.06,"L. Duda"
"Domingo Santana","OF","","MIL","CHC","R",5,3500,6.77,0.92,0,NA,7.85,7,6.1,NA,7.7,5.24,7.09,6.4,0,165,1.2,8,0.96,"D. Santana"
"Steve Souza","OF","","TBR","TOR","R",5,3300,6.76,0.77,0,NA,8.4,6.53,6.9,NA,6.3,6.19,6.75,6.27,0,111,0.3,8,1.04,"S. Souza"
"Jorge Polanco","2B","3B","MIN","@CHW","S",6,3100,6.76,0.99,0,NA,8.52,5.87,6.5,NA,6.8,5.74,7.6,6.3,0,118,0.440000000000001,8,0.98,"J. Polanco"
"Jason Heyward","OF","","CHC","@MIL","L",6,3500,6.74,1.08,0,NA,7.57,8.64,6.7,NA,5.6,5.69,6.82,6.16,0,-175,-1.2,8,0.96,"J. Heyward"
"Danny Valencia","3B","OF","SEA","@LAA","R",6,2900,6.7,0.67,0,NA,6.06,6.06,7.6,NA,7.4,6.11,7.17,6.5,0,104,0.18,8.5,1.05,"D. Valencia"
"Avisail Garcia","OF","","CHW","MIN","R",6,3200,6.7,0.88,0,NA,8.33,NA,6.4,NA,6.8,5.73,6.62,6.33,0,-128,-0.44,8,0.98,"A. Garcia"
"Chris Owings","OF","SS","ARI","CLE","R",6,3100,6.7,1.05,0,NA,8.86,6.15,6.1,NA,6.9,5.63,6.82,6.41,0,176,1.6,9.5,0.96,"C. Owings"
"Byron Buxton","OF","","MIN","@CHW","R",8,3100,6.69,1.28,0,NA,8.49,6.22,5.4,NA,7.1,5.54,8.24,5.81,0,118,0.440000000000001,8,0.98,"B. Buxton"
"Adrian Gonzalez",NA,NA,NA,NA,NA,NA,NA,6.68,3.35,NA,NA,8.94,NA,0.8,NA,8.6,NA,7.3,7.76,NA,NA,NA,NA,0.83,"A. Gonzalez"
"Manuel Margot","OF","","SDP","SFG","R",1,3000,6.67,0.98,0,NA,6.63,7.08,6,NA,6,5.4,8.32,7.23,0,145,0.84,7.5,1.05,"M. Margot"
"Adam Lind","1B","","WAS","@PHI","L",5,3100,6.66,1.01,0,NA,5.01,NA,6.8,NA,7.3,6.11,7.91,6.85,0,-157,-0.859999999999999,7.5,1,"A. Lind"
"Logan Morrison","1B","","TBR","TOR","L",6,3000,6.66,0.88,0,NA,8.37,6.75,6.5,NA,6.9,5.83,6.54,5.71,0,111,0.3,8,1.04,"L. Morrison"
"Adonis Garcia","3B","OF","ATL","@PIT","R",4,3100,6.66,0.91,0,NA,8.42,6.63,7,NA,6.2,5.47,6.27,6.65,0,125,0.559999999999999,8,1.04,"A. Garcia"
"Brandon Moss","1B","OF","KCR","@HOU","L",6,3200,6.66,1.06,0,NA,7.76,6.01,7.4,NA,6.7,4.78,7.6,6.34,0,178,1.48,8.5,1,"B. Moss"
"Denard Span",NA,NA,NA,NA,NA,NA,NA,6.66,2.17,NA,NA,8.87,NA,4,NA,NA,NA,5.88,7.9,NA,NA,NA,NA,1.05,NA
"Logan Morrison","1B","","TBR","TOR","L",6,3000,6.65,0.89,0,NA,8.37,6.75,6.5,NA,6.9,5.83,6.54,5.64,0,111,0.3,8,1.04,"L. Morrison"
"Howie Kendrick","2B","OF","PHI","WAS","R",2,3100,6.64,0.37,0,NA,7.25,6.69,6.8,NA,6.5,6.16,6.28,6.79,0,147,0.86,7.5,1,"H. Kendrick"
"Josh Reddick","OF","","HOU","KCR","L",7,3500,6.64,1.09,0,NA,7.77,7.21,4.9,NA,7.3,5.52,7.44,6.31,0,-190,-1.48,8.5,1,"J. Reddick"
"Leonys Martin",NA,NA,NA,NA,NA,NA,NA,6.64,0.98,NA,NA,7.8,5.47,7.6,NA,6.5,NA,6.9,5.58,NA,NA,NA,NA,1.05,"L. Martin"
"Russell Martin","C","","TOR","@TBR","R",6,3200,6.63,1.09,0,NA,8.48,5.84,7.4,NA,6.5,5.28,6.96,5.92,0,-121,-0.300000000000001,8,1.04,"R. Martin"
"Travis dArnaud",NA,NA,NA,NA,NA,NA,NA,6.62,0,NA,NA,6.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.06,NA
"Tommy Joseph","1B","","PHI","WAS","R",6,3500,6.58,0.57,0,NA,7.37,6.52,6.5,NA,7.2,5.95,6.65,5.87,0,147,0.86,7.5,1,"T. Joseph"
"Jonathan Schoop","2B","3B","BAL","NYY","R",7,3700,6.58,0.74,0,NA,7.51,6.69,5.5,NA,7,5.81,7.23,6.33,0,-119,-0.279999999999999,8.5,0.97,"J. Schoop"
"Scott Schebler","OF","","CIN","@STL","L",6,3300,6.58,1.27,0,NA,8.55,6.55,5.6,NA,6,5.1,8.04,6.23,0,172,1.3,8,1.02,"S. Schebler"
"Stephen Vogt",NA,NA,NA,NA,NA,NA,NA,6.54,1.38,NA,NA,7.85,NA,5.1,NA,NA,NA,6.68,NA,NA,NA,NA,NA,0.94,NA
"Brandon Drury","2B","OF","ARI","CLE","R",7,3100,6.52,1.14,0,NA,8.16,6.09,5.4,NA,6.2,5.09,7.57,7.13,0,176,1.6,9.5,0.96,"B. Drury"
"Jed Lowrie","2B","","OAK","@TEX","S",3,3000,6.49,0.46,0,NA,6.99,7.09,6.4,NA,6.3,6.49,5.72,6.46,0,-115,-0.24,9.5,0.94,"J. Lowrie"
"Wei-Yin Chen","P","","MIA","@NYM","L",NA,7100,6.48,9.16,0,NA,NA,NA,0,NA,NA,12.96,NA,NA,0,156,0.92,7,NA,NA
"Mitch Moreland","1B","","BOS","@DET","L",5,2800,6.48,0.5,0,NA,6.97,5.95,6.4,NA,7.1,5.8,6.79,6.38,0,-112,-0.12,7.5,0.99,"M. Moreland"
"Sandy Leon","C","","BOS","@DET","S",7,2500,6.46,1.09,0,NA,7.41,5.13,7.9,NA,6.2,5.33,7.35,5.93,0,-112,-0.12,7.5,0.99,"S. Leon"
"Joe Mauer","1B","","MIN","@CHW","L",3,3300,6.46,0.99,0,NA,8.28,6.13,5.8,NA,7.2,5.3,6.36,6.13,0,118,0.440000000000001,8,0.98,"J. Mauer"
"Brian McCann","C","","HOU","KCR","L",5,3300,6.45,1.22,0,NA,7.91,6.98,4.7,NA,7.2,4.84,7.02,6.47,0,-190,-1.48,8.5,1,"B. McCann"
"Marcell Ozuna","OF","","MIA","@NYM","R",6,2900,6.44,0.68,0,NA,7.22,5.95,6.6,NA,6.3,5.3,7.17,6.53,0,156,0.92,7,1.06,"M. Ozuna"
"Hunter Renfroe","OF","","SDP","SFG","R",6,2900,6.43,0.84,0,NA,7.03,6.03,7,NA,5.4,5.31,7.34,6.88,0,145,0.84,7.5,1.05,"H. Renfroe"
"Mitch Moreland","1B","","BOS","@DET","L",5,2800,6.4,0.56,0,NA,6.97,5.95,6.4,NA,7.1,5.8,6.79,5.79,0,-112,-0.12,7.5,0.99,"M. Moreland"
"Joe Panik","2B","","SFG","@SDP","L",NA,3400,6.36,1.13,0,NA,7.96,NA,5.3,NA,NA,5.27,6.84,6.43,0,-155,-0.84,7.5,1.05,NA
"Eugenio Suarez","3B","SS","CIN","@STL","R",5,3200,6.32,0.95,0,NA,7.63,6.58,4.7,NA,6.8,5.75,6.9,5.91,0,172,1.3,8,1.02,"E. Suarez"
"Sandy Leon","C","","BOS","@DET","S",7,2500,6.3,1.26,0,NA,7.41,5.13,7.9,NA,6.2,5.33,7.35,4.77,0,-112,-0.12,7.5,0.99,"S. Leon"
"Michael Saunders","OF","","PHI","WAS","L",5,3300,6.26,0.32,0,NA,6.47,6.31,5.7,NA,6.3,6.57,6.52,5.98,0,147,0.86,7.5,1,"M. Saunders"
"Steve Selsky","OF","","BOS","@DET","R",6,2500,6.26,0.97,0,NA,5.94,6.41,7.9,NA,5.1,5.22,6.93,6.32,0,-112,-0.12,7.5,0.99,"S. Selsky"
"Miguel Montero","C","","CHC","@MIL","L",7,3300,6.26,0.65,0,NA,6.74,NA,7,NA,6,5.13,6.35,6.34,0,-175,-1.2,8,0.96,"M. Montero"
"Jedd Gyorko","2B","3B","STL","CIN","R",7,3400,6.25,1.92,0,NA,7.02,6.45,8.2,NA,6.8,6.26,2.14,6.89,0,-182,-1.3,8,1.02,"J. Gyorko"
"Austin Romine","C","","NYY","@BAL","R",8,2900,6.25,1.21,0,NA,6.52,6.18,8.5,NA,6,4.81,6.66,5.1,0,109,0.279999999999999,8.5,0.97,"A. Romine"
"Andrelton Simmons","SS","","LAA","SEA","R",7,2800,6.24,0.78,0,NA,7.71,6.37,6,NA,6.4,5.08,6.16,5.98,0,-114,-0.18,8.5,1.05,"A. Simmons"
"Tony Wolters",NA,NA,NA,NA,NA,NA,NA,6.22,0.75,NA,NA,7.27,6.56,6.1,NA,5,NA,6.35,6.02,NA,NA,NA,NA,0.83,"T. Wolters"
"Austin Romine","C","","NYY","@BAL","R",8,2900,6.21,1.26,0,NA,6.52,6.18,8.5,NA,6,4.81,6.66,4.83,0,109,0.279999999999999,8.5,0.97,"A. Romine"
"Salvador Perez","C","","KCR","@HOU","R",5,3000,6.2,0.65,0,NA,7.12,6.41,6.1,NA,5.3,5.57,6.83,6.1,0,178,1.48,8.5,1,"S. Perez"
"Tyler Flowers","C","","ATL","@PIT","R",7,2800,6.17,0.8,0,NA,7.35,5.5,6.5,NA,7,5.17,5.77,5.93,0,125,0.559999999999999,8,1.04,"T. Flowers"
"Chris Sale",NA,NA,NA,NA,NA,NA,NA,6.17,10.69,NA,NA,0,NA,0,NA,NA,NA,NA,18.52,NA,NA,NA,NA,1.01,NA
"Zack Cozart","SS","","CIN","@STL","R",7,3100,6.13,0.8,0,NA,7.59,5.89,5.4,NA,6.5,5.27,6.47,5.77,0,172,1.3,8,1.02,"Z. Cozart"
"Yonder Alonso",NA,NA,NA,NA,NA,NA,NA,6.13,1.39,NA,NA,7.58,NA,4.8,NA,NA,NA,6.02,NA,NA,NA,NA,NA,0.94,NA
"Justin Smoak","1B","","TOR","@TBR","S",7,2700,6.09,0.54,0,NA,6.15,6.1,5.6,NA,6.7,5.47,6.87,5.75,0,-121,-0.300000000000001,8,1.04,"J. Smoak"
"Freddy Galvis","3B","SS","PHI","WAS","S",8,3100,6.02,1.07,0,NA,8.02,5.5,5.6,NA,6.9,4.88,5.41,5.82,0,147,0.86,7.5,1,"F. Galvis"
"Austin Jackson",NA,NA,NA,NA,NA,NA,NA,6.02,0.87,NA,NA,5.59,7.1,4.8,NA,6.2,NA,6.42,NA,NA,NA,NA,NA,0.96,"A. Jackson"
"Norichika Aoki","OF","","HOU","KCR","L",9,3400,6,1.17,0,NA,8.17,NA,5.3,NA,5.7,4.89,6.37,5.59,0,-190,-1.48,8.5,1,"N. Aoki"
"Kike Hernandez",NA,NA,NA,NA,NA,NA,NA,6,0,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.83,NA
"Michael Pineda",NA,NA,NA,NA,NA,NA,NA,5.99,10.37,NA,NA,0,NA,0,NA,NA,NA,NA,17.97,NA,NA,NA,NA,1.01,NA
"Mike Zunino","C","","SEA","@LAA","R",8,2500,5.98,0.86,0,NA,7.76,5.72,6,NA,5.9,5.18,6.03,5.25,0,104,0.18,8.5,1.05,"M. Zunino"
"Paulo Orlando","OF","","KCR","@HOU","R",7,2800,5.97,0.69,0,NA,6.63,5.79,5.9,NA,6.1,4.98,7,5.38,0,178,1.48,8.5,1,"P. Orlando"
"Max Kepler","OF","","MIN","@CHW","L",9,3400,5.96,1.16,0,NA,7.93,5.22,5.2,NA,6.5,4.88,6.88,5.11,0,118,0.440000000000001,8,0.98,"M. Kepler"
"Aaron Judge","OF","","NYY","@BAL","R",7,4100,5.95,1.05,0,NA,5.23,7.09,NA,NA,4.6,5.36,7.13,6.28,0,109,0.279999999999999,8.5,0.97,"A. Judge"
"Aaron Judge","OF","","NYY","@BAL","R",7,4100,5.93,1.04,0,NA,5.23,7.09,NA,NA,4.6,5.36,7.13,6.15,0,109,0.279999999999999,8.5,0.97,"A. Judge"
"Jace Peterson","2B","3B","ATL","@PIT","L",8,2800,5.92,0.44,0,NA,6.37,5.57,6.3,NA,6.2,5.15,5.89,5.97,0,125,0.559999999999999,8,1.04,"J. Peterson"
"Kevin Pillar","OF","","TOR","@TBR","R",8,3000,5.91,0.53,0,NA,6.96,5.99,5.7,NA,5.9,5.32,6,5.47,0,-121,-0.300000000000001,8,1.04,"K. Pillar"
"Jordy Mercer","SS","","PIT","ATL","R",6,2800,5.91,0.88,0,NA,7.02,6.12,5.9,NA,6.5,4.27,5.37,6.21,0,-135,-0.56,8,1.04,"J. Mercer"
"Derek Dietrich","2B","3B","MIA","@NYM","L",7,2500,5.88,0.86,0,NA,4.71,NA,6.1,NA,6.4,5.25,7.12,5.67,0,156,0.92,7,1.06,"D. Dietrich"
"Tyler Collins","OF","","DET","BOS","L",6,2500,5.87,0.46,0,NA,6.32,5.69,5.7,NA,5.1,5.88,6.52,5.86,0,102,0.12,7.5,0.99,"T. Collins"
"Alcides Escobar","SS","","KCR","@HOU","R",8,2900,5.87,1.04,0,NA,7.86,5.58,5.7,NA,6.3,4.61,5.95,5.09,0,178,1.48,8.5,1,"A. Escobar"
"Cody Asche","3B","OF","CHW","MIN","L",5,3800,5.85,0.67,0,NA,6.13,6.05,4.9,NA,6.8,5.02,6.19,5.85,0,-128,-0.44,8,0.98,"C. Asche"
"Danny Espinosa","2B","SS","LAA","SEA","S",8,2700,5.81,0.77,0,NA,7.07,NA,5.1,NA,5.7,5.03,6.27,5.71,0,-114,-0.18,8.5,1.05,"D. Espinosa"
"J.J. Hardy","SS","","BAL","NYY","R",8,3000,5.77,0.62,0,NA,6.97,5.7,5.5,NA,5.7,5.31,6.09,5.11,0,-119,-0.279999999999999,8.5,0.97,"J. Hardy"
"Tyler Collins","OF","","DET","BOS","L",6,2500,5.76,0.55,0,NA,6.32,5.69,5.7,NA,5.1,5.88,6.52,5.08,0,102,0.12,7.5,0.99,"T. Collins"
"Hernan Perez","3B","OF","MIL","CHC","R",6,3300,5.69,2.15,0,NA,6.68,NA,6.9,NA,7.7,4.76,1.78,6.32,0,165,1.2,8,0.96,"H. Perez"
"Yan Gomes","C","","CLE","@ARI","R",6,2900,5.68,2.15,0,NA,7.12,6.59,0.9,NA,5.9,6.02,6.61,6.61,0,-187,-1.6,9.5,0.96,"Y. Gomes"
"Ezequiel Carrera","OF","","TOR","@TBR","L",9,2500,5.67,0.48,0,NA,6.36,5.93,5.1,NA,6,5.18,5.81,5.31,0,-121,-0.300000000000001,8,1.04,"E. Carrera"
"Jon Jay","OF","","CHC","@MIL","L",9,3300,5.66,0.93,0,NA,7.3,NA,4.5,NA,5.9,5.24,5.4,5.59,0,-175,-1.2,8,0.96,"J. Jay"
"Andrew Toles",NA,NA,NA,NA,NA,NA,NA,5.65,3.34,NA,NA,7.34,NA,7.8,NA,NA,NA,1.8,NA,NA,NA,NA,NA,0.83,NA
"Phil Gosselin",NA,NA,NA,NA,NA,NA,NA,5.64,0.49,NA,NA,5.12,NA,NA,NA,NA,NA,5.72,6.09,NA,NA,NA,NA,1.04,NA
"Ronald Torreyes","3B","SS","NYY","@BAL","R",9,2800,5.63,0.67,0,NA,5.44,NA,5.3,NA,5.6,4.96,6.9,5.56,0,109,0.279999999999999,8.5,0.97,"R. Torreyes"
"Josh Bell","OF","","PIT","ATL","S",5,2900,5.62,2.55,0,NA,7.11,6.91,0,NA,7.3,5.58,6.3,6.16,0,-135,-0.56,8,1.04,"J. Bell"
"Joey Gallo","3B","OF","TEX","OAK","L",7,3500,5.59,3.08,0,NA,4.47,5.87,0,NA,NA,7.11,8.42,7.69,0,105,0.24,9.5,0.94,NA
"Tyler Naquin",NA,NA,NA,NA,NA,NA,NA,5.59,2.2,NA,NA,7.13,NA,6.5,NA,NA,NA,2.33,6.42,NA,NA,NA,NA,0.96,NA
"Raul Mondesi","2B","SS","KCR","@HOU","S",9,2300,5.57,0.84,0,NA,6.26,NA,6.3,NA,5,4.5,6.4,4.94,0,178,1.48,8.5,1,"R. Mondesi"
"Pablo Sandoval","3B","","BOS","@DET","S",8,3200,5.55,0.45,0,NA,5.39,5.58,6.4,NA,4.9,5.54,5.68,5.34,0,-112,-0.12,7.5,0.99,"P. Sandoval"
"Philip Gosselin","2B","3B","PIT","ATL","R",7,2500,5.54,0.37,0,NA,NA,NA,NA,NA,5.8,5.28,NA,NA,0,-135,-0.56,8,NA,"P. Gosselin"
"Ronald Torreyes","3B","SS","NYY","@BAL","R",9,2800,5.48,0.77,0,NA,5.44,NA,5.3,NA,5.6,4.96,6.9,4.69,0,109,0.279999999999999,8.5,0.97,"R. Torreyes"
"Pablo Sandoval","3B","","BOS","@DET","S",8,3200,5.45,0.56,0,NA,5.39,5.58,6.4,NA,4.9,5.54,5.68,4.69,0,-112,-0.12,7.5,0.99,"P. Sandoval"
"Eddie Rosario","OF","","MIN","@CHW","L",7,3100,5.45,2.59,0,NA,8.2,5.61,0,NA,6.4,5.23,6.74,5.96,0,118,0.440000000000001,8,0.98,"E. Rosario"
"Jett Bandy","C","","MIL","CHC","R",8,2500,5.41,0.75,0,NA,6.11,5.44,4.4,NA,5.9,4.49,6.28,5.22,0,165,1.2,8,0.96,"J. Bandy"
"Gorkys Hernandez","OF","","SFG","@SDP","R",1,2500,5.38,2.32,0,NA,3.19,7.54,7.5,NA,6.4,5.73,1.95,NA,0,-155,-0.84,7.5,1.05,"G. Hernandez"
"Jason Castro","C","","MIN","@CHW","L",5,2600,5.38,0.58,0,NA,5.98,NA,4.5,NA,6,5.22,5.51,5.06,0,118,0.440000000000001,8,0.98,"J. Castro"
"Jose Iglesias","3B","SS","DET","BOS","R",9,2400,5.34,0.3,0,NA,5.87,5.4,5,NA,5.2,5.51,5.02,5.37,0,102,0.12,7.5,0.99,"J. Iglesias"
"Jose Iglesias","3B","SS","DET","BOS","R",9,2400,5.32,0.31,0,NA,5.87,5.4,5,NA,5.2,5.51,5.02,5.23,0,102,0.12,7.5,0.99,"J. Iglesias"
"Carlos Sanchez","2B","","CHW","MIN","S",7,0,5.32,0.46,0,NA,NA,NA,5.8,NA,4.8,5.08,NA,5.59,0,-128,-0.44,8,NA,"C. Sanchez"
"Carlos Beltran",NA,NA,NA,NA,NA,NA,NA,5.32,3.95,NA,NA,8.99,7.5,4.8,NA,NA,NA,0,NA,NA,NA,NA,NA,1,NA
"Yandy Diaz","3B","","CLE","@ARI","R",8,2700,5.28,2.58,0,NA,4.36,7.23,0,NA,6.7,5.29,5.88,7.51,0,-187,-1.6,9.5,0.96,"Y. Diaz"
"Alex Avila","C","","DET","BOS","L",7,2600,5.28,0.5,0,NA,6.2,5.22,4.8,NA,5.4,4.66,5.27,5.39,0,102,0.12,7.5,0.99,"A. Avila"
"Trea Turner",NA,NA,NA,NA,NA,NA,NA,5.27,4.91,NA,NA,8.74,NA,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"Jose Lobaton","C","","WAS","@PHI","S",8,2400,5.26,0.35,0,NA,5.36,NA,5.4,NA,5.8,4.82,5.18,4.98,0,-157,-0.859999999999999,7.5,1,"J. Lobaton"
