"Player","Pos","Pos2","Team","Opp","Hand","Order","Salary","Projection","SE","DvP","DvP2","DFC","FanGraphs","FantasyPros","lineupLab","numberFire","RotoGrinders","Rotowire","SwishAnalytics","DvPRank","Line","Spread","OU","ParkFactor","Label"
"Dexter Fowler","OF","","STL","CIN","S",1,4200,8.79,0.78,0,NA,9.6,7.89,9,NA,10,8.56,8.25,8.24,0,-182,-1.3,8,1.02,"D. Fowler"
"Yasiel Puig","OF","","LAD","@COL","R",4,4600,8.79,0.91,0,NA,9.57,10.42,9.4,7.82,8,8.35,8.55,8.24,0,-126,-0.5,10,0.83,"Y. Puig"
"Paul Goldschmidt","1B","","ARI","CLE","R",3,4600,8.77,1.34,0,NA,11.65,8.17,8.4,7.82,8.4,7.37,9.6,8.72,0,176,1.6,9.5,0.96,"P. Goldschmidt"
"Nelson Cruz","OF","","SEA","@LAA","R",4,3900,8.76,1.3,0,NA,10.43,7.3,9.2,NA,10.5,7.74,7.93,8.22,0,104,0.18,8.5,1.05,"N. Cruz"
"Jean Segura","2B","SS","SEA","@LAA","R",1,3800,8.72,1.62,0,NA,11.7,7.55,10,NA,8.8,7.28,8.24,7.46,0,104,0.18,8.5,1.05,"J. Segura"
"Franklin Gutierrez","OF","","LAD","@COL","R",2,4300,8.66,1.07,0,NA,8.57,9.11,7.7,NA,10.3,7.7,9.67,7.59,0,-126,-0.5,10,0.83,"F. Gutierrez"
"Mark Trumbo","1B","OF","BAL","NYY","R",4,4400,8.64,0.99,0,NA,10.39,8.14,7.2,NA,8.8,9.21,8.3,8.43,0,-119,-0.279999999999999,8.5,0.97,"M. Trumbo"
"Miguel Cabrera","1B","","DET","BOS","R",3,4500,8.6,1.16,0,NA,11.14,7.73,8.7,NA,8.2,8.22,8.28,7.95,0,102,0.12,7.5,0.99,"M. Cabrera"
"Matt Carpenter","1B","3B","STL","CIN","L",3,4100,8.59,0.73,0,NA,8.94,7.79,7.9,NA,9.7,9.19,8.63,7.96,0,-182,-1.3,8,1.02,"M. Carpenter"
"Joey Votto","1B","","CIN","@STL","L",3,4400,8.59,1.32,0,NA,10.63,8.04,7.3,NA,9.9,7.29,9.16,7.84,0,172,1.3,8,1.02,"J. Votto"
