"Player","Pos","Pos2","Team","Opp","Hand","Order","Salary","Projection","SE","DvP","DvP2","DFC","FanGraphs","FantasyPros","numberFire","RotoGrinders","Rotowire","DvPRank","Line","Spread","OU","ParkFactor","Label","Actual","Value","actValue"
"Domingo Santana","OF","","MIL","COL","R",5,3800,6.87,0.69,0,NA,7.65,7,NA,6.7,5.79,7.2,0,115,0.379999999999999,8,0.96,"D. Santana",9,1.80789473684211,2.36842105263158
"Zack Cozart","SS","","CIN","PHI","R",7,3400,6.86,0.58,0,NA,7.73,6.33,7.2,7,6.14,6.74,0,-115,-0.199999999999999,8.5,0.98,"Z. Cozart",5,2.01764705882353,1.47058823529412
"Travis Shaw","1B","3B","MIL","COL","L",4,3500,6.85,0.83,0,NA,7.14,6.83,NA,7,5.51,7.79,0,115,0.379999999999999,8,0.96,"T. Shaw",12,1.95714285714286,3.42857142857143
"Melky Cabrera","OF","","CHW","DET","S",3,3900,6.85,1.19,0,NA,8.81,6.86,5.9,7.4,5.44,6.7,0,114,0.32,7,0.98,"M. Cabrera",NA,1.75641025641026,NA
"Mark Reynolds","1B","3B","COL","@MIL","R",7,3100,6.85,1.11,0,NA,8.15,6.62,NA,7.6,5.25,6.65,0,-125,-0.380000000000001,8,0.96,"M. Reynolds",27,2.20967741935484,8.70967741935484
"Stephen Vogt","1B","C","OAK","LAA","L",2,3100,6.83,0.7,0,NA,7.81,6.73,5.9,6.9,6.27,7.37,0,101,0.120000000000001,8,1.03,"S. Vogt",17,2.20322580645161,5.48387096774194
"Mitch Haniger","OF","","SEA","@HOU","R",2,3500,6.79,1.68,0,NA,4.24,7.57,9.2,6.7,5.77,7.26,0,134,0.76,8.5,1,"M. Haniger",2,1.94,0.571428571428571
"Jarrod Dyson","OF","","SEA","@HOU","L",9,3000,6.79,1.32,0,NA,8.98,6.76,5.5,6.9,5.36,7.26,0,134,0.76,8.5,1,"J. Dyson",0,2.26333333333333,0
"Jonathan Schoop","2B","3B","BAL","TOR","R",8,3900,6.78,0.78,0,NA,8.04,6.67,6.1,6.6,5.97,7.3,0,-133,-0.56,8.5,0.97,"J. Schoop",0,1.73846153846154,0
"Matt Joyce","OF","","OAK","LAA","L",6,2400,6.78,0.61,0,NA,6.64,6.58,6.8,7.7,5.86,7.12,0,101,0.120000000000001,8,1.03,"M. Joyce",2,2.825,0.833333333333333
"Stephen Drew","2B","SS","WAS","MIA","L",7,2800,6.77,1.03,0,NA,7.16,6.94,NA,8,5.2,6.56,0,-197,-1.46,8,1,"S. Drew",0,2.41785714285714,0
"Tyler Saladino","3B","SS","CHW","DET","R",1,3400,6.77,1.56,0,NA,7.86,7.15,7.7,7,3.65,7.26,0,114,0.32,7,0.98,"T. Saladino",NA,1.99117647058824,NA
"Freddy Galvis","3B","SS","PHI","@CIN","S",8,3500,6.76,0.65,0,NA,7.93,6.43,6.8,6.9,5.99,6.53,0,105,0.199999999999999,8.5,0.98,"F. Galvis",21,1.93142857142857,6
"Wil Myers","1B","OF","SDP","@LAD","R",2,3800,6.74,1.36,0,NA,8.48,5.91,7.6,7.6,4.92,5.92,0,304,2.34,6.5,1.04,"W. Myers",2,1.77368421052632,0.526315789473684
"J.T. Realmuto","C","","MIA","@WAS","R",2,3500,6.71,1.46,0,NA,7.95,7.09,NA,7.4,4.2,6.89,0,183,1.46,8,1,"J. Realmuto",10,1.91714285714286,2.85714285714286
