"Player","Pos","Pos2","Team","Opp","Hand","Order","Salary","Projection","SE","DvP","DvP2","DFC","FanGraphs","FantasyPros","numberFire","RotoGrinders","Rotowire","DvPRank","Line","Spread","OU","ParkFactor","Label","Actual","Value","actValue"
"George Springer","OF","","HOU","SEA","R",1,4400,8.37,1.32,0,NA,10.23,8.91,7.4,8.7,6.4,8.58,0,-144,-0.76,8.5,1,"G. Springer",14,1.90227272727273,3.18181818181818
"Francisco Lindor","SS","","CLE","@TEX","S",2,4500,8.37,1.24,0,NA,9.05,7.94,8.8,9.7,6.12,8.59,0,-115,-0.18,7.5,0.94,"F. Lindor",4,1.86,0.888888888888889
"Carlos Santana","1B","","CLE","@TEX","S",1,4500,8.37,1.31,0,NA,9.53,8.26,8.4,9.5,5.94,8.6,0,-115,-0.18,7.5,0.94,"C. Santana",16,1.86,3.55555555555556
"DJ LeMahieu","2B","3B","COL","@MIL","R",2,4300,8.33,1.31,0,NA,10.07,7.76,NA,9.2,6.71,7.93,0,-125,-0.380000000000001,8,0.96,"D. LeMahieu",0,1.93720930232558,0
"Khris Davis","OF","","OAK","LAA","R",4,3800,8.3,1.4,0,NA,10.53,7.48,7.8,9.2,6.56,8.22,0,101,0.120000000000001,8,1.03,"K. Davis",31,2.18421052631579,8.15789473684211
"Justin Upton","OF","","DET","@CHW","R",5,4000,8.29,1.42,0,NA,11.05,7.75,6.9,8,8.11,7.96,0,-124,-0.32,7,0.98,"J. Upton",NA,2.0725,NA
"Carlos Correa","SS","","HOU","SEA","R",4,4700,8.29,1.13,0,NA,9.42,8.73,8,8.7,6.17,8.74,0,-144,-0.76,8.5,1,"C. Correa",16,1.76382978723404,3.40425531914894
"Jose Peraza","2B","SS","CIN","PHI","R",2,3700,8.26,0.99,0,NA,9.5,8.34,9.3,7.1,7.36,7.97,0,-115,-0.199999999999999,8.5,0.98,"J. Peraza",6,2.23243243243243,1.62162162162162
"Lorenzo Cain","OF","","KCR","@MIN","R",3,3900,8.26,1.08,0,NA,NA,8.02,9.1,9.4,6.66,8.13,0,-105,0.0999999999999996,8,NA,"L. Cain",9,2.11794871794872,2.30769230769231
"Mark Trumbo","1B","OF","BAL","TOR","R",5,4200,8.25,0.92,0,NA,9.79,8.21,7.2,8.7,8.03,7.57,0,-133,-0.56,8.5,0.97,"M. Trumbo",21,1.96428571428571,5
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Andrew McCutchen","OF","","PIT","@BOS","R",3,4700,8.21,1.24,0,NA,9.75,8.64,NA,8.2,6.31,8.14,0,141,0.879999999999999,8.5,0.95,"A. McCutchen",0,1.7468085106383,0
"Maikel Franco","3B","","PHI","@CIN","R",4,4200,8.18,0.93,0,NA,8.84,8.53,6.7,9.3,7.61,8.11,0,105,0.199999999999999,8.5,0.98,"M. Franco",7,1.94761904761905,1.66666666666667
"Dustin Pedroia","2B","","BOS","PIT","R",1,4100,8.18,1.09,0,NA,9.45,8.74,NA,8.6,6.82,7.27,0,-151,-0.880000000000001,8.5,0.95,"D. Pedroia",7,1.99512195121951,1.70731707317073
"Gregory Polanco","OF","","PIT","@BOS","L",4,4500,8.15,1.4,0,NA,9.8,8.4,NA,8,6.4,NA,0,141,0.879999999999999,8.5,0.95,"G. Polanco",3,1.81111111111111,0.666666666666667
"Joc Pederson","OF","","LAD","SDP","L",6,3600,8.14,1.14,0,NA,9.24,7.58,7.9,9.1,6.25,8.76,0,-344,-2.34,6.5,1.04,"J. Pederson",22,2.26111111111111,6.11111111111111
"Devon Travis","2B","","TOR","@BAL","R",1,4000,8.13,0.99,0,NA,8.77,7.6,9.1,8.7,6.41,8.2,0,123,0.559999999999999,8.5,0.97,"D. Travis",6,2.0325,1.5
"Cesar Hernandez","2B","","PHI","@CIN","S",1,3800,8.12,0.73,0,NA,9.03,8.36,7.6,8.8,7.16,7.74,0,105,0.199999999999999,8.5,0.98,"C. Hernandez",14,2.13684210526316,3.68421052631579
"Albert Pujols","1B","","LAA","@OAK","R",4,3700,8.07,1.25,0,NA,10.07,7.91,7.3,9,6.69,7.44,0,-111,-0.119999999999999,8,1.03,"A. Pujols",2,2.18108108108108,0.54054054054054
"Freddie Freeman","1B","","ATL","@NYM","L",3,3900,8.05,2.11,0,NA,11.46,6.94,NA,8.4,5.9,7.53,0,166,1.06,7,1.06,"F. Freeman",14,2.06410256410256,3.58974358974359
"Eric Hosmer","1B","","KCR","@MIN","L",4,3700,8,0.91,0,NA,9.62,7.51,8.4,7,7.72,7.73,0,-105,0.0999999999999996,8,0.99,"E. Hosmer",0,2.16216216216216,0
"Adam Jones","OF","","BAL","TOR","R",2,4300,8,0.68,0,NA,9.32,8.02,7.5,7.9,7.5,7.76,0,-133,-0.56,8.5,0.97,"A. Jones",9,1.86046511627907,2.09302325581395
"Jose Ramirez","3B","OF","CLE","@TEX","S",5,4300,7.99,1.6,0,NA,10.08,7.9,8.2,8.5,5.14,8.11,0,-115,-0.18,7.5,0.94,"J. Ramirez",18,1.85813953488372,4.18604651162791
"Michael Saunders","OF","","PHI","@CIN","L",5,3800,7.98,1.45,0,NA,7.14,7.74,10.2,8.8,5.94,8.06,0,105,0.199999999999999,8.5,0.98,"M. Saunders",9,2.1,2.36842105263158
"Xander Bogaerts","3B","SS","BOS","PIT","R",6,4400,7.95,0.51,0,NA,8.65,8.12,NA,8.1,7.49,7.4,0,-151,-0.880000000000001,8.5,0.95,"X. Bogaerts",16,1.80681818181818,3.63636363636364
"Rougned Odor","2B","","TEX","CLE","L",5,4400,7.95,1.57,0,NA,10.12,7.4,8.6,7,5.7,8.88,0,105,0.18,7.5,0.94,"R. Odor",32,1.80681818181818,7.27272727272727
"Kole Calhoun","OF","","LAA","@OAK","L",2,3500,7.94,0.98,0,NA,9.39,7.74,8.5,8,6.45,7.56,0,-111,-0.119999999999999,8,1.03,"K. Calhoun",7,2.26857142857143,2
